Title,Title_link,list-card-price,list-card-type,Bedrooms,Bathrooms,list-card-details,Zestimate,Type,Year built,Heating,Cooling,Parking,HOA / Lot,Price / sqft,Monthly cost,Property taxes,House insurance,HOA fees,Utilities
"694 Banks Ave SW, Atlanta, GA 30315",https://www.zillow.com/homedetails/694-Banks-Ave-SW-Atlanta-GA-30315/35829327_zpid/,"Est. $81,408",Pre-foreclosure / Auction,2 bds,1 ba,986 sqft,,Single Family,1950,Forced air,Central,No Data,0.3 acres,,$434,$73/mo,$28/mo,$0/mo,Not included
"585 Mcwilliams Rd SE UNIT 1202, Atlanta, GA 30315",https://www.zillow.com/homedetails/585-Mcwilliams-Rd-SE-UNIT-1202-Atlanta-GA-30315/82621572_zpid/,$--,Pre-foreclosure / Auction,3 bds,3 ba,"1,742 sqft",,Condo,2006,Forced air,Central,No Data,No Data,,$0,$0/mo,$0/mo,$0/mo,Not included
"1359 Elizabeth Ave SW, Atlanta, GA 30310",https://www.zillow.com/homedetails/1359-Elizabeth-Ave-SW-Atlanta-GA-30310/35841057_zpid/,"Est. $103,106",Pre-foreclosure / Auction,3 bds,1 ba,"1,071 sqft",,Single Family,1950,Forced air,Central,No Data,"5,998 sqft",,$532,$92/mo,$36/mo,$0/mo,Not included
"165 Mathewson Pl SW, Atlanta, GA 30314",https://www.zillow.com/homedetails/165-Mathewson-Pl-SW-Atlanta-GA-30314/35843828_zpid/,"Est. $218,259",Pre-foreclosure / Auction,2 bds,2 ba,"1,374 sqft",,Single Family,1940,Other,Central,No Data,"10,001 sqft",,"$1,072",$195/mo,$76/mo,$0/mo,Not included
"1422 Willow Trl SW, Atlanta, GA 30311",https://www.zillow.com/homedetails/1422-Willow-Trl-SW-Atlanta-GA-30311/35848680_zpid/,$--,Pre-foreclosure / Auction,3 bds,1 ba,"1,546 sqft",,Single Family,1965,Forced air,Central,No Data,0.3 acres,,$0,$0/mo,$0/mo,$0/mo,Not included
"80 Howard St NW, Atlanta, GA 30314",https://www.zillow.com/homedetails/80-Howard-St-NW-Atlanta-GA-30314/35855205_zpid/,"Est. $119,005",Pre-foreclosure / Auction,2 bds,1 ba,"1,016 sqft",,Single Family,1953,Forced air,Central,No Data,"8,712 sqft",,$614,$106/mo,$42/mo,$0/mo,Not included
"2098 Morehouse Dr NW # 19, Atlanta, GA 30314",https://www.zillow.com/homedetails/2098-Morehouse-Dr-NW-19-Atlanta-GA-30314/2082371990_zpid/,"$70,000",House for sale,3 bds,3 ba,850 sqft,None,Single Family,1945,Gas,None,1 space,"9,147 sqft",$82,$373,$62/mo,$25/mo,$0/mo,Not included
"1447 Akridge St NW, Atlanta, GA 30314",https://www.zillow.com/homedetails/1447-Akridge-St-NW-Atlanta-GA-30314/35844538_zpid/,"$249,900",House for sale,4 bds,3 ba,"2,800 sqft",,Single Family,1955,Forced air,Central,No Data,"7,492 sqft",$89,"$1,288",$223/mo,$87/mo,$0/mo,Not included
"742 Memorial Dr SE # 22, Atlanta, GA",https://www.zillow.com/homedetails/742-Memorial-Dr-SE-22-Atlanta-GA-30316/2082375246_zpid/,"$319,900",New construction,1 bd,1 ba,860 sqft,,Condo,2019,No Data,No Data,1 space,$259/month,$372,"$1,830",$285/mo,$112/mo,$259/mo,Not included
"425 Chapel St SW APT 2303, Atlanta, GA 30313",https://www.zillow.com/homedetails/425-Chapel-St-SW-APT-2303-Atlanta-GA-30313/2083960086_zpid/,"$179,900",Condo for sale,1 bd,1 ba,991 sqft,,Condo,2006,No Data,No Data,1 space,$311/month,$182,"$1,239",$160/mo,$63/mo,$311/mo,Not included
"1484 Mcpherson Ave SE, Atlanta, GA 30316",https://www.zillow.com/homedetails/1484-Mcpherson-Ave-SE-Atlanta-GA-30316/14457014_zpid/,"$479,900",House for sale,3 bds,3 ba,"2,200 sqft",,Single Family,1959,"Forced air, Heat pump",Central,2 spaces,"4,356 sqft",$218,"$2,372",$444/mo,$168/mo,$0/mo,Not included
"1583 Westwood Ave SW, Atlanta, GA 30310",https://www.zillow.com/homedetails/1583-Westwood-Ave-SW-Atlanta-GA-30310/35847104_zpid/,"$265,000",House for sale,3 bds,1 ba,"1,280 sqft",,Single Family,1920,Forced air,Central,No Data,"7,840 sqft",$207,"$1,301",$236/mo,$93/mo,$0/mo,Not included
"C Plan, Airline 04W Condominiums",https://www.zillow.com/community/airline-04w-condominiums/2087593734_zpid/,"$569,900+",New construction,1 bd,2 ba,"1,228 sqft",,Condo,2019,No Data,No Data,2 spaces,No Data,$464,"$2,801",,,,
"1892 Gordon Mnr NE, Atlanta, GA 30307",https://www.zillow.com/homedetails/1892-Gordon-Mnr-NE-Atlanta-GA-30307/70833119_zpid/,"$399,999",Condo for sale,2 bds,2 ba,"1,518 sqft",,Condo,2005,Forced air,Central,No Data,$440/month,$264,"$2,417",$370/mo,$140/mo,$440/mo,Not included
"1970 Thomasville Dr SE, Atlanta, GA 30315",https://www.zillow.com/homedetails/1970-Thomasville-Dr-SE-Atlanta-GA-30315/35887536_zpid/,"$27,000",House for sale,3 bds,1 ba,977 sqft,None,Single Family,1966,Other,None,2 spaces,0.34 acres,$28,$144,$24/mo,$9/mo,$0/mo,Not included
"170 Boulevard SE APT H113, Atlanta, GA 30312",https://www.zillow.com/homedetails/170-Boulevard-SE-APT-H113-Atlanta-GA-30312/2089568547_zpid/,"$319,000",Condo for sale,1 bd,1 ba,896 sqft,,Condo,2006,Forced air,Central,Detached Garage,$245/month,$356,"$1,811",$284/mo,$112/mo,$245/mo,Not included
"1162 Welch St SW, Atlanta, GA 30310",https://www.zillow.com/homedetails/1162-Welch-St-SW-Atlanta-GA-30310/171436770_zpid/,"$55,000",Lot / Land for sale,"3,092 sqft lot",,,None,,,,,,,,$293,$49/mo,$19/mo,$0/mo,Not included
"1398 Kenilworth Dr SW, Atlanta, GA 30310",https://www.zillow.com/homedetails/1398-Kenilworth-Dr-SW-Atlanta-GA-30310/35841175_zpid/,"$257,000",House for sale,3 bds,2 ba,"1,348 sqft",,Single Family,1950,Forced air,Central,2 spaces,0.26 acres,$191,"$1,262",$229/mo,$90/mo,$0/mo,Not included
"1086 Edgefield Dr SW, Atlanta, GA 30310",https://www.zillow.com/homedetails/1086-Edgefield-Dr-SW-Atlanta-GA-30310/35841865_zpid/,"$279,900",House for sale,3 bds,3 ba,"1,150 sqft",,Single Family,1950,Forced air,Central,No Data,0.26 acres,$243,"$1,374",$250/mo,$98/mo,$0/mo,Not included
"370 Saint Johns Ave SW, Atlanta, GA 30315",https://www.zillow.com/homedetails/370-Saint-Johns-Ave-SW-Atlanta-GA-30315/35891750_zpid/,"$225,000",House for sale,3 bds,2 ba,816 sqft,,Single Family,1955,Forced air,Central,2 spaces,"10,201 sqft",$276,"$1,158",$201/mo,$79/mo,$0/mo,Not included
"920 Ira St SW, Atlanta, GA 30310",https://www.zillow.com/homedetails/920-Ira-St-SW-Atlanta-GA-30310/35890692_zpid/,"$95,000",House for sale,3 bds,1 ba,"1,200 sqft",,Single Family,1948,Forced air,Other,Detached Garage,"4,791 sqft",$79,$506,$85/mo,$33/mo,$0/mo,Not included
"2172 Telhurst St SW, Atlanta, GA 30310",https://www.zillow.com/homedetails/2172-Telhurst-St-SW-Atlanta-GA-30310/35857641_zpid/,"$85,000",House for sale,3 bds,1 ba,"1,213 sqft",,Single Family,1920,Forced air,Central,Detached Garage,"10,001 sqft",$70,$453,$76/mo,$30/mo,$0/mo,Not included
"316 Gibson St SE, Atlanta, GA",https://www.zillow.com/homedetails/316-Gibson-St-SE-Atlanta-GA-30316/2082390362_zpid/,"$699,900",New construction,3 bds,5 ba,"2,907 sqft",,Townhouse,2019,No Data,No Data,No Data,No Data,$241,"$3,541",,,,
"318 Gibson St SE, Atlanta, GA",https://www.zillow.com/homedetails/318-Gibson-St-SE-Atlanta-GA-30316/2082390364_zpid/,"$699,900",New construction,3 bds,5 ba,"2,907 sqft",,Townhouse,2019,No Data,No Data,No Data,No Data,$241,"$3,541",,,,
"304 Gibson St SE, Atlanta, GA",https://www.zillow.com/homedetails/304-Gibson-St-SE-Atlanta-GA-30316/2082390371_zpid/,"$574,900",New construction,2 bds,4 ba,"2,277 sqft",,Townhouse,2019,No Data,No Data,No Data,No Data,$252,"$2,825",,,,
"302 Gibson St SE, Atlanta, GA",https://www.zillow.com/homedetails/302-Gibson-St-SE-Atlanta-GA-30316/2082390365_zpid/,"$574,900",New construction,2 bds,4 ba,"2,277 sqft",,Townhouse,2019,No Data,No Data,No Data,No Data,$252,"$2,825",,,,
"300 Gibson St SE, Atlanta, GA",https://www.zillow.com/homedetails/300-Gibson-St-SE-Atlanta-GA-30316/2082390366_zpid/,"$599,900",New construction,2 bds,4 ba,"2,277 sqft",,Townhouse,2019,No Data,No Data,No Data,No Data,$263,"$2,948",,,,
"322 Gibson St SE, Atlanta, GA",https://www.zillow.com/homedetails/322-Gibson-St-SE-Atlanta-GA-30316/2082390367_zpid/,"$729,900",New construction,3 bds,5 ba,"2,907 sqft",,Townhouse,2019,No Data,No Data,No Data,No Data,$251,"$3,693",,,,
"320 Gibson St SE, Atlanta, GA",https://www.zillow.com/homedetails/320-Gibson-St-SE-Atlanta-GA-30316/2082390368_zpid/,"$699,900",New construction,3 bds,5 ba,"2,907 sqft",,Townhouse,2019,No Data,No Data,No Data,No Data,$241,"$3,541",,,,
"195 Arizona Ave NE UNIT 148, Atlanta, GA 30307",https://www.zillow.com/homedetails/195-Arizona-Ave-NE-UNIT-148-Atlanta-GA-30307/70832933_zpid/,"$272,000",Condo for sale,1 bd,2 ba,"1,354 sqft",,Condo,2003,Other,Central,1 space,$228/month,$201,"$1,572",$252/mo,$95/mo,$228/mo,Not included
"15 Baker Dr SW, Atlanta, GA 30354",https://www.zillow.com/homedetails/15-Baker-Dr-SW-Atlanta-GA-30354/35886361_zpid/,"$190,000",House for sale,3 bds,2 ba,"1,001 sqft",,Single Family,1955,Heat pump,Central,3 spaces,"10,790 sqft",$190,$978,$169/mo,$67/mo,$0/mo,Not included
"988 Westmont Rd SW, Atlanta, GA 30311",https://www.zillow.com/homedetails/988-Westmont-Rd-SW-Atlanta-GA-30311/35841384_zpid/,"Est. $199,073",Pre-foreclosure / Auction,2 bds,2 ba,"1,338 sqft",,Single Family,1958,Other,Central,No Data,"8,364 sqft",,$977,$178/mo,$70/mo,$0/mo,Not included
"504 Cascade Park Dr SW, Atlanta, GA 30331",https://www.zillow.com/homedetails/504-Cascade-Park-Dr-SW-Atlanta-GA-30331/82614326_zpid/,"Est. $164,876",Pre-foreclosure / Auction,3 bds,2 ba,"2,143 sqft",,Condo,2006,Forced air,Central,No Data,No Data,,$848,$147/mo,$58/mo,$0/mo,Not included
"361 Atlanta Ave SE, Atlanta, GA 30315",https://www.zillow.com/homedetails/361-Atlanta-Ave-SE-Atlanta-GA-30315/35877149_zpid/,"$290,000",House for sale,2 bds,1 ba,988 sqft,,Single Family,1935,Forced air,Central,No Data,"9,252 sqft",$294,"$1,424",$259/mo,$102/mo,$0/mo,Not included
"3114 Spreading Oak Dr SW, Atlanta, GA 30311",https://www.zillow.com/homedetails/3114-Spreading-Oak-Dr-SW-Atlanta-GA-30311/35870124_zpid/,"$219,910",House for sale,4 bds,2 ba,"2,296 sqft",,Single Family,1960,Heat pump,Central,2 spaces,0.48 acres,$96,"$1,132",$196/mo,$77/mo,$0/mo,Not included
"2196 Polar Rock Ter SW, Atlanta, GA 30315",https://www.zillow.com/homedetails/2196-Polar-Rock-Ter-SW-Atlanta-GA-30315/35886752_zpid/,"$160,000",House for sale,4 bds,2 ba,"1,000 sqft",,Single Family,1955,Forced air,Central,No Data,"9,600 sqft",$160,$823,$143/mo,$56/mo,$0/mo,Not included
"1635 Jobeth Ave SE, Atlanta, GA 30316",https://www.zillow.com/homedetails/1635-Jobeth-Ave-SE-Atlanta-GA-30316/2082394890_zpid/,"$388,000",House for sale,3 bds,3 ba,"1,449 sqft",,Single Family,2003,Forced air,Central,No Data,0.3 acres,$268,"$1,918",$359/mo,$136/mo,$0/mo,Not included
"89 Mangum St SW UNIT 216, Atlanta, GA 30313",https://www.zillow.com/homedetails/89-Mangum-St-SW-UNIT-216-Atlanta-GA-30313/71756385_zpid/,"$191,000",Condo for sale,1 bd,1 ba,828 sqft,,Condo,2006,Forced air,Central,No Data,$284/month,$231,"$1,267",$170/mo,$67/mo,$284/mo,Not included
"676 Fraser St SE # 73, Atlanta, GA",https://www.zillow.com/homedetails/676-Fraser-St-SE-73-Atlanta-GA-30315/2082396187_zpid/,"$299,900",New construction,1 bd,1 ba,-- sqft,,Townhouse,2019,Heat pump,Central,1 space,No Data,No Data,"$1,657",$267/mo,$105/mo,$185/mo,Not included
"680 Fraser St SE # 74, Atlanta, GA",https://www.zillow.com/homedetails/680-Fraser-St-SE-74-Atlanta-GA-30315/2082396304_zpid/,"$378,000",New construction,2 bds,2 ba,-- sqft,,Townhouse,2019,Heat pump,Central,1 space,No Data,No Data,"$2,041",$337/mo,$132/mo,$185/mo,Not included
"62 Lannon Ave NE, Atlanta, GA 30317",https://www.zillow.com/homedetails/62-Lannon-Ave-NE-Atlanta-GA-30317/14465192_zpid/,"$685,000",House for sale,4 bds,4 ba,"2,748 sqft",None,Single Family,2019,Forced air,Central,2 spaces,"8,712 sqft",$249,"$3,488",$634/mo,$240/mo,$0/mo,Not included
"682 Fraser St SE # 75, Atlanta, GA",https://www.zillow.com/homedetails/682-Fraser-St-SE-75-Atlanta-GA-30315/2082396633_zpid/,"$378,000",New construction,2 bds,2 ba,-- sqft,,Townhouse,2019,Heat pump,Central,1 space,No Data,No Data,"$2,041",$337/mo,$132/mo,$185/mo,Not included
"678 Fraser St SE # 73A, Atlanta, GA",https://www.zillow.com/homedetails/678-Fraser-St-SE-73A-Atlanta-GA-30315/2082396934_zpid/,"$378,000",New construction,2 bds,2 ba,-- sqft,,Townhouse,2019,Heat pump,Central,1 space,No Data,No Data,"$2,041",$337/mo,$132/mo,$185/mo,Not included
"1036 Regis Rd SE, Atlanta, GA 30315",https://www.zillow.com/homedetails/1036-Regis-Rd-SE-Atlanta-GA-30315/35884421_zpid/,"$160,000",House for sale,4 bds,2 ba,"1,426 sqft",,Single Family,1959,Forced air,Central,No Data,"9,931 sqft",$112,$823,$143/mo,$56/mo,$0/mo,Not included
"242 Carlyle Park Dr NE, Atlanta, GA 30307",https://www.zillow.com/homedetails/242-Carlyle-Park-Dr-NE-Atlanta-GA-30307/70828948_zpid/,"$299,900",Townhouse for sale,2 bds,2 ba,"1,172 sqft",,Townhouse,2004,No Data,Central,Attached Garage,435 sqft,$256,"$1,482",$277/mo,$105/mo,$0/mo,Not included
"794 Connally St SE, Atlanta, GA",https://www.zillow.com/homedetails/794-Connally-St-SE-Atlanta-GA-30315/69345661_zpid/,"$600,000",New construction,4 bds,4 ba,"2,387 sqft",,Single Family,2019,Gas,No Data,2 spaces,"2,787 sqft",$251,"$2,949",$535/mo,$210/mo,$0/mo,Not included
"316 Gibson St SE # 9, Atlanta, GA 30316",https://www.zillow.com/homedetails/316-Gibson-St-SE-9-Atlanta-GA-30316/2082401537_zpid/,"$699,900",Townhouse for sale,3 bds,5 ba,"2,907 sqft",,Townhouse,No Data,No Data,No Data,No Data,No Data,$241,"$3,541",$624/mo,$245/mo,$0/mo,Not included
"318 Gibson St SE # 8, Atlanta, GA 30316",https://www.zillow.com/homedetails/318-Gibson-St-SE-8-Atlanta-GA-30316/2082401656_zpid/,"$699,900",Townhouse for sale,3 bds,5 ba,"2,907 sqft",,Townhouse,No Data,No Data,No Data,No Data,No Data,$241,"$3,541",$624/mo,$245/mo,$0/mo,Not included
"320 Gibson St SE # 7, Atlanta, GA 30316",https://www.zillow.com/homedetails/320-Gibson-St-SE-7-Atlanta-GA-30316/2082401690_zpid/,"$699,900",Townhouse for sale,3 bds,5 ba,"2,907 sqft",,Townhouse,No Data,No Data,No Data,No Data,No Data,$241,"$3,541",$624/mo,$245/mo,$0/mo,Not included
"322 Gibson St SE # 6, Atlanta, GA 30316",https://www.zillow.com/homedetails/322-Gibson-St-SE-6-Atlanta-GA-30316/2082401760_zpid/,"$729,900",Townhouse for sale,3 bds,5 ba,"2,907 sqft",,Townhouse,No Data,No Data,No Data,No Data,No Data,$251,"$3,693",$651/mo,$255/mo,$0/mo,Not included
"118 Haygood Ave SE, Atlanta, GA 30315",https://www.zillow.com/homedetails/118-Haygood-Ave-SE-Atlanta-GA-30315/65441569_zpid/,"$404,999",House for sale,3 bds,3 ba,"1,872 sqft",,Single Family,2015,Forced air,Central,2 spaces,"4,791 sqft",$216,"$1,988",$361/mo,$142/mo,$0/mo,Not included
"3270 Tarian Way, Decatur, GA",https://www.zillow.com/homedetails/3270-Tarian-Way-Decatur-GA-30034/97971078_zpid/,"$189,900",New construction,2 bds,3 ba,"1,421 sqft",,Townhouse,2019,"Forced air, Heat pump",Central,Attached Garage,No Data,$134,"$1,089",$176/mo,$66/mo,$105/mo,Not included
"1379 Bluefield Dr SW, Atlanta, GA 30310",https://www.zillow.com/homedetails/1379-Bluefield-Dr-SW-Atlanta-GA-30310/35841664_zpid/,"$244,900",House for sale,3 bds,2 ba,"1,035 sqft",,Single Family,1948,Forced air,Central,No Data,"8,712 sqft",$237,"$1,260",$218/mo,$86/mo,$0/mo,Not included
"357 Sawtell Ave SE, Atlanta, GA 30315",https://www.zillow.com/homedetails/357-Sawtell-Ave-SE-Atlanta-GA-30315/35876538_zpid/,"$199,900",House for sale,3 bds,2 ba,"1,080 sqft",,Single Family,1920,Forced air,Central,No Data,"9,016 sqft",$185,"$1,029",$178/mo,$70/mo,$0/mo,Not included
"0 Venetian Dr SW, Atlanta, GA 30311",https://www.zillow.com/homedetails/0-Venetian-Dr-SW-Atlanta-GA-30311/2111382807_zpid/,"$55,000",Lot / Land for sale,0.33 acres lot,,,None,,,,,,,,$293,$49/mo,$19/mo,$0/mo,Not included
"270 Linkwood Rd NW, Atlanta, GA 30318",https://www.zillow.com/homedetails/270-Linkwood-Rd-NW-Atlanta-GA-30318/35865799_zpid/,"Est. $119,205",Pre-foreclosure / Auction,4 bds,2 ba,"1,417 sqft",,Single Family,1958,Forced air,Central,No Data,0.69 acres,,$613,$106/mo,$42/mo,$0/mo,Not included
"722 Province Pl SE # 113, Atlanta, GA 30312",https://www.zillow.com/homedetails/722-Province-Pl-SE-113-Atlanta-GA-30312/2082407306_zpid/,"$385,000",Townhouse for sale,3 bds,4 ba,"1,850 sqft",,Townhouse,2005,No Data,No Data,2 spaces,871 sqft,$208,"$2,025",$343/mo,$135/mo,$135/mo,Not included
"426 Langhorn St SW, Atlanta, GA 30310",https://www.zillow.com/homedetails/426-Langhorn-St-SW-Atlanta-GA-30310/35842674_zpid/,"$375,000",House for sale,3 bds,3 ba,"1,768 sqft",,Single Family,1920,Forced air,Central,No Data,"7,840 sqft",$212,"$1,841",$334/mo,$131/mo,$0/mo,Not included
"1418 Allegheny St SW, Atlanta, GA",https://www.zillow.com/homedetails/1418-Allegheny-St-SW-Atlanta-GA-30310/35842200_zpid/,"$380,000",New construction,4 bds,3 ba,"1,800 sqft",,Single Family,2019,"Forced air, Heat pump",Central,2 spaces,"7,405 sqft",$211,"$1,865",$339/mo,$133/mo,$0/mo,Not included
"54 Boulevard SE, Atlanta, GA",https://www.zillow.com/homedetails/54-Boulevard-SE-Atlanta-GA-30312/2100309676_zpid/,"$925,000",New construction,3 bds,4 ba,"2,440 sqft",,Single Family,2019,Forced air,Central,2 spaces,"3,789 sqft",$379,"$4,680",$825/mo,$324/mo,$0/mo,Not included
"1059 Fortress Ave SW, Atlanta, GA 30315",https://www.zillow.com/homedetails/1059-Fortress-Ave-SW-Atlanta-GA-30315/35887957_zpid/,"$229,999",House for sale,3 bds,2 ba,"1,080 sqft",,Single Family,1950,Forced air,Central,No Data,"2,700 sqft",$213,"$1,184",$205/mo,$80/mo,$0/mo,Not included
"890 Memorial Dr SE UNIT 107, Atlanta, GA 30316",https://www.zillow.com/homedetails/890-Memorial-Dr-SE-UNIT-107-Atlanta-GA-30316/121352510_zpid/,"$380,000",House for sale,2 bds,2 ba,"1,338 sqft",,Single Family,2008,Forced air,Central,1 space,"1,350 sqft",$284,"$2,165",$339/mo,$133/mo,$300/mo,Not included
"1212 Utoy Springs Rd SW APT 40, Atlanta, GA 30331",https://www.zillow.com/homedetails/1212-Utoy-Springs-Rd-SW-APT-40-Atlanta-GA-30331/2082411230_zpid/,"$70,000",Condo for sale,2 bds,1 ba,927 sqft,,Condo,1970,Forced air,Central,No Data,$16/month,$76,$389,$62/mo,$25/mo,$16/mo,Not included
"609 East Ave NE # 1, Atlanta, GA",https://www.zillow.com/homedetails/609-East-Ave-NE-1-Atlanta-GA-30312/2082411323_zpid/,"$1,149,500",New construction,3 bds,4 ba,"2,740 sqft",,Townhouse,2019,No Data,No Data,No Data,"8,450 sqft",$420,"$5,815","$1,025/mo",$402/mo,$0/mo,Not included
"1196 Mobile St NW, Atlanta, GA 30314",https://www.zillow.com/homedetails/1196-Mobile-St-NW-Atlanta-GA-30314/35834014_zpid/,"$65,000",House for sale,3 bds,1 ba,768 sqft,None,Single Family,1940,Forced air,Central,No Data,"3,746 sqft",$85,$346,$58/mo,$23/mo,$0/mo,Not included
"674 Fraser St SE # 72, Atlanta, GA",https://www.zillow.com/homedetails/674-Fraser-St-SE-72-Atlanta-GA-30315/2082413308_zpid/,"$526,500",New construction,2 bds,3 ba,-- sqft,,Townhouse,2019,Heat pump,Central,1 space,No Data,No Data,"$2,770",$469/mo,$184/mo,$185/mo,Not included
"812 Peeples St SW, Atlanta, GA",https://www.zillow.com/homedetails/812-Peeples-St-SW-Atlanta-GA-30310/35835697_zpid/,"$535,000",New construction,4 bds,4 ba,"1,977 sqft",None,Single Family,2017,Gas,Central,No Data,"9,496 sqft",$271,"$2,626",$477/mo,$187/mo,$0/mo,Not included
"308 Gibson St SE # 5, Atlanta, GA 30316",https://www.zillow.com/homedetails/308-Gibson-St-SE-5-Atlanta-GA-30316/2082413513_zpid/,"$599,900",Townhouse for sale,2 bds,4 ba,"2,277 sqft",,Townhouse,No Data,No Data,No Data,No Data,No Data,$263,"$2,948",$535/mo,$210/mo,$0/mo,Not included
"973 Ira St SW, Atlanta, GA 30310",https://www.zillow.com/homedetails/973-Ira-St-SW-Atlanta-GA-30310/35890670_zpid/,"$75,000",House for sale,4 bds,2 ba,"1,519 sqft",None,Single Family,1920,Other,None,No Data,"4,007 sqft",$49,$400,$67/mo,$26/mo,$0/mo,Not included
"1665 Cecile Ave SE, Atlanta, GA 30316",https://www.zillow.com/homedetails/1665-Cecile-Ave-SE-Atlanta-GA-30316/14455509_zpid/,"$285,000",House for sale,2 bds,2 ba,"1,085 sqft",,Single Family,1947,Other,Central,1 space,0.3 acres,$263,"$1,409",$264/mo,$100/mo,$0/mo,Not included
"1317 Avon Ave SW, Atlanta, GA 30310",https://www.zillow.com/homedetails/1317-Avon-Ave-SW-Atlanta-GA-30310/35841769_zpid/,"$275,000",House for sale,3 bds,2 ba,"1,500 sqft",,Single Family,1951,Forced air,Central,No Data,"7,187 sqft",$183,"$1,350",$245/mo,$96/mo,$0/mo,Not included
"681 Home Ave SE, Atlanta, GA 30312",https://www.zillow.com/homedetails/681-Home-Ave-SE-Atlanta-GA-30312/35869480_zpid/,"$420,000",House for sale,3 bds,2 ba,"1,192 sqft",,Single Family,1935,Forced air,Other,Off street,0.31 acres,$352,"$2,062",$375/mo,$147/mo,$0/mo,Not included
"2453 Perkerson Rd SW, Atlanta, GA 30315",https://www.zillow.com/homedetails/2453-Perkerson-Rd-SW-Atlanta-GA-30315/35829200_zpid/,"$95,000",House for sale,3 bds,1 ba,"1,073 sqft",,Single Family,1952,Forced air,Central,No Data,"9,147 sqft",$89,$506,$85/mo,$33/mo,$0/mo,Not included
"155 Oak Dr SW, Atlanta, GA 30354",https://www.zillow.com/homedetails/155-Oak-Dr-SW-Atlanta-GA-30354/35886153_zpid/,"$179,998",House for sale,4 bds,2 ba,"1,376 sqft",,Single Family,1957,Other,Central,2 spaces,"7,919 sqft",$131,$926,$160/mo,$63/mo,$0/mo,Not included
"973 Oakland Dr SW, Atlanta, GA 30310",https://www.zillow.com/homedetails/973-Oakland-Dr-SW-Atlanta-GA-30310/249113267_zpid/,"$100,000",Lot / Land for sale,"7,492 sqft lot",,,None,,,,,,,,$533,$89/mo,$35/mo,$0/mo,Not included
"1480 Everhart St SW, Atlanta, GA 30310",https://www.zillow.com/homedetails/1480-Everhart-St-SW-Atlanta-GA-30310/35830888_zpid/,"$325,000",House for sale,3 bds,2 ba,"1,505 sqft",,Single Family,1925,Forced air,Central,3 spaces,"7,840 sqft",$216,"$1,595",$290/mo,$114/mo,$0/mo,Not included
"2480 Cascade Rd SW, Atlanta, GA 30311",https://www.zillow.com/homedetails/2480-Cascade-Rd-SW-Atlanta-GA-30311/35863134_zpid/,"$309,000",House for sale,3 bds,2 ba,"1,568 sqft",,Single Family,1951,Forced air,Other,Carport,0.46 acres,$197,"$1,517",$276/mo,$108/mo,$0/mo,Not included
"881 Memorial Dr SE UNIT 116, Atlanta, GA 30316",https://www.zillow.com/homedetails/881-Memorial-Dr-SE-UNIT-116-Atlanta-GA-30316/82617565_zpid/,"$315,000",Condo for sale,1 bd,1 ba,"1,031 sqft",,Condo,1920,Forced air,Central,1 space,$170/month,$306,"$1,716",$281/mo,$110/mo,$170/mo,Not included
"152 Nathan Rd SW, Atlanta, GA 30331",https://www.zillow.com/homedetails/152-Nathan-Rd-SW-Atlanta-GA-30331/88828989_zpid/,"$250,000",House for sale,5 bds,3 ba,"3,270 sqft",,Single Family,2007,Heat pump,Central,"Attached Garage, Detached Garage","9,757 sqft",$76,"$1,286",$223/mo,$88/mo,$0/mo,Not included
"570 Flat Shoals Ave SE, Atlanta, GA 30316",https://www.zillow.com/homedetails/570-Flat-Shoals-Ave-SE-Atlanta-GA-30316/14455916_zpid/,"$600,000",House for sale,3 bds,3 ba,"1,609 sqft",,Single Family,1920,Other,Central,6 spaces,"8,712 sqft",$373,"$2,969",$555/mo,$210/mo,$0/mo,Not included
"2388 Hosea L Williams Dr NE, Atlanta, GA 30317",https://www.zillow.com/homedetails/2388-Hosea-L-Williams-Dr-NE-Atlanta-GA-30317/14465715_zpid/,"$299,500",House for sale,3 bds,1 ba,"1,125 sqft",,Single Family,1986,Forced air,Other,4 spaces,"8,712 sqft",$266,"$1,480",$277/mo,$105/mo,$0/mo,Not included
"224 Woodward Ave SE, Atlanta, GA 30312",https://www.zillow.com/homedetails/224-Woodward-Ave-SE-Atlanta-GA-30312/35881778_zpid/,"$278,000",House for sale,3 bds,1 ba,"1,040 sqft",,Single Family,1998,Forced air,Central,2 spaces,"9,016 sqft",$267,"$1,365",$248/mo,$97/mo,$0/mo,Not included
"1322 Avon Ave SW, Atlanta, GA 30310",https://www.zillow.com/homedetails/1322-Avon-Ave-SW-Atlanta-GA-30310/35840902_zpid/,"$310,000",House for sale,4 bds,3 ba,"1,613 sqft",,Single Family,1920,Other,Central,3 spaces,"9,500 sqft",$192,"$1,522",$276/mo,$109/mo,$0/mo,Not included
"1712 Richmond Ave SE, Atlanta, GA 30315",https://www.zillow.com/homedetails/1712-Richmond-Ave-SE-Atlanta-GA-30315/35876502_zpid/,"$225,000",House for sale,3 bds,2 ba,"1,222 sqft",,Single Family,1945,Other,Central,Attached Garage,"7,013 sqft",$184,"$1,158",$201/mo,$79/mo,$0/mo,Not included
