Title,Title_link,list-card-price,list-card-type,Bedrooms,Bathrooms,list-card-details,Zestimate,Type,Year built,Heating,Cooling,Parking,HOA / Lot,Price / sqft,Monthly cost,Property taxes,House insurance,HOA fees,Utilities
"2950 Tejas Trl SW, Atlanta, GA 30331",https://www.zillow.com/homedetails/2950-Tejas-Trl-SW-Atlanta-GA-30331/35869122_zpid/,"$149,900",House for sale,4 bds,3 ba,"1,686 sqft",,Single Family,1966,Forced air,Central,2 spaces,0.4 acres,$89,$771,$134/mo,$52/mo,$0/mo,Not included
"727 Windsor St SW, Atlanta, GA 30310",https://www.zillow.com/homedetails/727-Windsor-St-SW-Atlanta-GA-30310/35890225_zpid/,"$62,000",Lot / Land for sale,"5,009 sqft lot",,,None,,,,,,,,$330,$55/mo,$22/mo,$0/mo,Not included
"241 Tiger Flowers Cir NW, Atlanta, GA 30314",https://www.zillow.com/homedetails/241-Tiger-Flowers-Cir-NW-Atlanta-GA-30314/35857404_zpid/,"$75,000",House for sale,3 bds,1 ba,987 sqft,,Single Family,1950,Other,Central,No Data,"10,558 sqft",$76,$400,$67/mo,$26/mo,$0/mo,Not included
"2439 Harvel Dr NW, Atlanta, GA 30318",https://www.zillow.com/homedetails/2439-Harvel-Dr-NW-Atlanta-GA-30318/35863869_zpid/,"$198,000",House for sale,3 bds,2 ba,"1,375 sqft",,Single Family,1960,Forced air,Central,2 spaces,"9,757 sqft",$144,"$1,019",$177/mo,$69/mo,$0/mo,Not included
"1115 Graymont Dr SW, Atlanta, GA 30310",https://www.zillow.com/homedetails/1115-Graymont-Dr-SW-Atlanta-GA-30310/35841544_zpid/,"$275,000",House for sale,3 bds,2 ba,"1,462 sqft",,Single Family,1950,Forced air,Central,2 spaces,"8,772 sqft",$188,"$1,350",$245/mo,$96/mo,$0/mo,Not included
"300 Peachtree St NE APT 7E, Atlanta, GA 30308",https://www.zillow.com/homedetails/300-Peachtree-St-NE-APT-7E-Atlanta-GA-30308/2082663761_zpid/,"$239,999",Condo for sale,1 bd,1 ba,721 sqft,,Condo,1962,Forced air,Central,No Data,$522/month,$333,"$1,757",$214/mo,$84/mo,$522/mo,Not included
"1003 Palmetto Ave SW, Atlanta, GA",https://www.zillow.com/homedetails/1003-Palmetto-Ave-SW-Atlanta-GA-30314/35834659_zpid/,"$169,900",New construction,"4,791 sqft lot",,,,,,,,,,,$874,$151/mo,$59/mo,$0/mo,Not included
"1892 Gordon Mnr NE # 210, Atlanta, GA 30307",https://www.zillow.com/homedetails/1892-Gordon-Mnr-NE-210-Atlanta-GA-30307/2091383039_zpid/,"$399,999",Condo for sale,2 bds,2 ba,"1,518 sqft",,Condo,2005,Electric,Central,2 spaces,$440/month,$264,"$2,417",$370/mo,$140/mo,$440/mo,Not included
"910 Martin St NW, Atlanta, GA",https://www.zillow.com/homedetails/910-Martin-St-NW-Atlanta-GA-30318/2082668303_zpid/,"$665,900",New construction,4 bds,4 ba,"2,636 sqft",,Single Family,2019,No Data,No Data,No Data,No Data,$253,"$3,431",$594/mo,$233/mo,$62/mo,Not included
"912 Martin St NW, Atlanta, GA",https://www.zillow.com/homedetails/912-Martin-St-NW-Atlanta-GA-30318/2082668336_zpid/,"$703,605",New construction,4 bds,4 ba,"3,243 sqft",,Single Family,2019,No Data,No Data,No Data,No Data,$217,"$3,622",$627/mo,$246/mo,$62/mo,Not included
"917 Luther St NW, Atlanta, GA",https://www.zillow.com/homedetails/917-Luther-St-NW-Atlanta-GA-30318/2082668356_zpid/,"$699,900",New construction,4 bds,4 ba,"3,243 sqft",,Single Family,2019,No Data,No Data,No Data,No Data,$216,"$3,603",$624/mo,$245/mo,$62/mo,Not included
"915 Luther St NW, Atlanta, GA",https://www.zillow.com/homedetails/915-Luther-St-NW-Atlanta-GA-30318/2082668391_zpid/,"$693,125",New construction,3 bds,4 ba,"2,768 sqft",,Single Family,2019,No Data,No Data,No Data,No Data,$250,"$3,569",$618/mo,$243/mo,$62/mo,Not included
"911 Luther St NW, Atlanta, GA",https://www.zillow.com/homedetails/911-Luther-St-NW-Atlanta-GA-30318/2082668495_zpid/,"$652,741",New construction,3 bds,4 ba,"2,673 sqft",,Single Family,2019,No Data,No Data,No Data,No Data,$244,"$3,364",$582/mo,$228/mo,$62/mo,Not included
"1302 Beecher St SW, Atlanta, GA 30310",https://www.zillow.com/homedetails/1302-Beecher-St-SW-Atlanta-GA-30310/35842333_zpid/,"$425,000",House for sale,3 bds,3 ba,"1,525 sqft",,Single Family,1936,"Forced air, Heat pump",Central,No Data,"7,405 sqft",$279,"$2,086",$379/mo,$149/mo,$0/mo,Not included
"1297 Douglas St SW, Atlanta, GA 30314",https://www.zillow.com/homedetails/1297-Douglas-St-SW-Atlanta-GA-30314/35844020_zpid/,"$144,900",House for sale,2 bds,2 ba,960 sqft,,Single Family,1940,Forced air,Other,No Data,"5,000 sqft",$151,$746,$129/mo,$51/mo,$0/mo,Not included
"951 Wylie St SE, Atlanta, GA 30316",https://www.zillow.com/homedetails/951-Wylie-St-SE-Atlanta-GA-30316/35839051_zpid/,"$465,000",House for sale,2 bds,2 ba,"1,464 sqft",,Single Family,1920,Forced air,Other,No Data,"4,356 sqft",$318,"$2,283",$415/mo,$163/mo,$0/mo,Not included
"1323 Wylie St SE, Atlanta, GA 30317",https://www.zillow.com/homedetails/1323-Wylie-St-SE-Atlanta-GA-30317/14467488_zpid/,"$275,000",House for sale,2 bds,2 ba,"1,021 sqft",,Single Family,1947,Forced air,Central,Off street,"8,712 sqft",$269,"$1,359",$254/mo,$96/mo,$0/mo,Not included
"3457 Parc Dr SW, Atlanta, GA 30311",https://www.zillow.com/homedetails/3457-Parc-Dr-SW-Atlanta-GA-30311/71757761_zpid/,"$150,000",Townhouse for sale,2 bds,3 ba,"1,742 sqft",,Townhouse,2005,Forced air,Central,Attached Garage,871 sqft,$86,$882,$134/mo,$53/mo,$110/mo,Not included
"1142 Lonetia St SE, Atlanta, GA 30312",https://www.zillow.com/homedetails/1142-Lonetia-St-SE-Atlanta-GA-30312/65460977_zpid/,"$515,000",House for sale,4 bds,3 ba,"1,840 sqft",,Single Family,2001,"Heat pump, Other","Central, Other",2 spaces,"6,098 sqft",$280,"$2,528",$459/mo,$180/mo,$0/mo,Not included
