Address,Title_link,Sale price,list-card-type,Bedrooms,Bathrooms,Area,Zestimate,Type,Year built,Heating,Cooling,Parking,HOA / Lot,Price / sqft,Green energy,Monthly cost,Principal and interest,Mortage insurance,Property taxes,Home insurance,HOA fees,Utilities
"61-20 Grand Central Pkwy # B1502, Forest Hills, NY 11375",https://www.zillow.com/homedetails/61-20-Grand-Central-Pkwy-B1502-Forest-Hills-NY-11375/219852781_zpid/,"$435,000",Condo for sale,2 bds,1 ba,967 sqft,"$419,225",Condo,1965,"Electric, Gas",Central,No Data,No Data,$450,Great solar potentialSun Number™: 90.2,"$2,235","$1,778/mo",$0/mo,$305/mo,$152/mo,$0/mo,Not included
"4315 Webster Ave APT 4L, Bronx, NY 10470",https://www.zillow.com/homedetails/4315-Webster-Ave-APT-4L-Bronx-NY-10470/215951540_zpid/,"$179,000",Condo for sale,2 bds,1 ba,950 sqft,,Condo,1958,Oil,No Data,No Data,No Data,$188,Great solar potentialSun Number™: 83.8,$949,$745/mo,$0/mo,$142/mo,$63/mo,$0/mo,Not included
"3840 Greystone Ave APT 1F, Bronx, NY 10463",https://www.zillow.com/homedetails/3840-Greystone-Ave-APT-1F-Bronx-NY-10463/125157596_zpid/,"$350,000",Condo for sale,2 bds,1 ba,925 sqft,"$333,188",Condo,1960,Gas,None,No Data,No Data,$378,Great solar potentialSun Number™: 87.78,"$1,830","$1,431/mo",$0/mo,$277/mo,$123/mo,$0/mo,Not included
"8374 Talbot St APT 2E, Kew Gardens, NY 11415",https://www.zillow.com/homedetails/8374-Talbot-St-APT-2E-Kew-Gardens-NY-11415/245485589_zpid/,"$275,000",Co-op for sale,1 bd,1 ba,780 sqft,"$236,731",Cooperative,1931,No Data,No Data,No Data,$353,,Great solar potentialSun Number™: 92.6,"$1,413","$1,124/mo",$0/mo,$193/mo,$96/mo,$0/mo,Not included
"67 Battery Avenue Cc, Brooklyn, NY 11228",https://www.zillow.com/homedetails/67-Battery-Avenue-Cc-Brooklyn-NY-11228/2082756625_zpid/,"$270,000",Condo for sale,Studio,1 ba,400 sqft,,Condo,1988,Gas,No Data,No Data,$90/month,$675,,"$1,435","$1,104/mo",$0/mo,$146/mo,$95/mo,$90/mo,Not included
"8352 Talbot St APT 3K, Kew Gardens, NY 11415",https://www.zillow.com/homedetails/8352-Talbot-St-APT-3K-Kew-Gardens-NY-11415/245472524_zpid/,"$245,000",Co-op for sale,1 bd,1 ba,680 sqft,"$243,853",Cooperative,1931,No Data,No Data,No Data,$360,,Great solar potentialSun Number™: 91.8,"$1,277","$1,019/mo",$0/mo,$172/mo,$86/mo,$0/mo,Not included
"107 Long Pond Ln, Staten Island, NY 10304",https://www.zillow.com/homedetails/107-Long-Pond-Ln-Staten-Island-NY-10304/32320586_zpid/,"$519,900",Townhouse for sale,3 bds,2 ba,"1,737 sqft","$449,144",Townhouse,1994,Gas,Central,Attached Garage,"1,237 sqft",$299,Great solar potentialSun Number™: 87,"$2,684","$2,125/mo",$0/mo,$377/mo,$182/mo,$0/mo,Not included
"3310 Tiemann Ave # 44, Bronx, NY 10469",https://www.zillow.com/homedetails/3310-Tiemann-Ave-44-Bronx-NY-10469/2082064809_zpid/,"$499,000",Townhouse for sale,3 bds,2 ba,-- sqft,,Townhouse,1950,No Data,No Data,No Data,"1,710 sqft",No Data,,"$2,610","$2,040/mo",$0/mo,$395/mo,$175/mo,$0/mo,Not included
"8514 Broadway, Elmhurst, NY 11373",https://www.zillow.com/homedetails/8514-Broadway-Elmhurst-NY-11373/31966180_zpid/,"$418,000",Co-op for sale,2 bds,1 ba,"79,710 sqft","$359,259",Cooperative,1952,No Data,No Data,"Attached Garage, Detached Garage",$5,,Great solar potentialSun Number™: 94.2,"$2,148","$1,709/mo",$0/mo,$293/mo,$146/mo,$0/mo,Not included
"16709 Powells Cove Blvd # 25, Whitestone, NY",https://www.zillow.com/homedetails/16709-Powells-Cove-Blvd-25-Whitestone-NY-11357/55732206_zpid/,"$859,000",New construction,4 bds,3 ba,"2,023 sqft","$846,087",Condo,1999,Other,No Data,No Data,No Data,$425,Great solar potentialSun Number™: 76.61,"$4,242","$3,340/mo",$0/mo,$601/mo,$301/mo,$0/mo,Not included
"8514 Broadway, Elmhurst, NY 11373",https://www.zillow.com/homedetails/8514-Broadway-Elmhurst-NY-11373/31966180_zpid/,"$418,000",Co-op for sale,2 bds,1 ba,"79,710 sqft","$359,259",Cooperative,1952,No Data,No Data,"Attached Garage, Detached Garage",$5,,Great solar potentialSun Number™: 94.2,"$2,148","$1,709/mo",$0/mo,$293/mo,$146/mo,$0/mo,Not included
"24116 147th Ave, Jamaica, NY 11422",https://www.zillow.com/homedetails/24116-147th-Ave-Jamaica-NY-11422/32213879_zpid/,"$999,000",Apartment for sale,6 bds,5 ba,"2,400 sqft","$837,175",Multi Family,1962,Other,No Data,7 spaces,$416,,Great solar potentialSun Number™: 93.41,"$5,038","$3,989/mo",$0/mo,$699/mo,$350/mo,$0/mo,Not included
"196 W 9th St # 1, Brooklyn, NY 11231",https://www.zillow.com/homedetails/196-W-9th-St-1-Brooklyn-NY-11231/2082065073_zpid/,"$2,200,000",For sale by owner,6 bds,3 ba,"3,600 sqft",,Condo,No Data,Gas,No Data,No Data,No Data,$611,,"$10,746","$8,784/mo",$0/mo,"$1,192/mo",$770/mo,$0/mo,Not included
"11011 69th Ave, Flushing, NY 11375",https://www.zillow.com/homedetails/11011-69th-Ave-Flushing-NY-11375/31979314_zpid/,"$3,999,000",House for sale,4 bds,4 ba,"2,188 sqft",,Single Family,1939,Radiant,No Data,Attached Garage,2.3 acres,"$1,828",Great solar potentialSun Number™: 94.2,"$20,166","$15,967/mo",$0/mo,"$2,799/mo","$1,400/mo",$0/mo,Not included
"41 Garnet St # 3C, Brooklyn, NY 11231",https://www.zillow.com/homedetails/41-Garnet-St-3C-Brooklyn-NY-11231/2082537867_zpid/,"$1,275,000",Condo for sale,2 bds,2 ba,"1,025 sqft",,Condo,No Data,No Data,No Data,No Data,$241/month,"$1,244",,"$6,469","$5,091/mo",$0/mo,$691/mo,$446/mo,$241/mo,Not included
"41 Garnet St # 2B, Brooklyn, NY 11231",https://www.zillow.com/homedetails/41-Garnet-St-2B-Brooklyn-NY-11231/2082537866_zpid/,"$1,375,000",Condo for sale,2 bds,2 ba,"1,188 sqft",,Condo,No Data,No Data,No Data,No Data,$279/month,"$1,157",,"$6,995","$5,490/mo",$0/mo,$745/mo,$481/mo,$279/mo,Not included
"41 Garnet St # 1A, Brooklyn, NY 11231",https://www.zillow.com/homedetails/41-Garnet-St-1A-Brooklyn-NY-11231/2082065311_zpid/,"$1,625,000",Condo for sale,2 bds,2 ba,"1,615 sqft",,Condo,No Data,No Data,No Data,No Data,$380/month,"$1,006",,"$8,317","$6,488/mo",$0/mo,$880/mo,$569/mo,$380/mo,Not included
"63 E 9th St APT 10C, New York, NY 10003",https://www.zillow.com/homedetails/63-E-9th-St-APT-10C-New-York-NY-10003/244799425_zpid/,"$649,000",Apartment for sale,Studio,1 ba,500 sqft,,Apartment,1955,No Data,No Data,1 space,"$1,298",,Great solar potentialSun Number™: 93.39,"$4,354","$2,523/mo",$0/mo,$476/mo,$227/mo,"$1,128/mo",Not included
"200 W Houston St APT 1D, New York, NY 10014",https://www.zillow.com/homedetails/200-W-Houston-St-APT-1D-New-York-NY-10014/244823810_zpid/,"$2,695,000",Co-op for sale,1 bd,2 ba,"37,968 sqft",,Cooperative,1900,No Data,No Data,No Data,$71,,Great solar potentialSun Number™: 90.22,"$16,463","$10,761/mo",$0/mo,"$1,976/mo",$943/mo,"$2,783/mo",Not included
"100 Franklin St # RESIDENCE3, New York, NY 10013",https://www.zillow.com/homedetails/100-Franklin-St-RESIDENCE3-New-York-NY-10013/2082065317_zpid/,"$3,995,000",Condo for sale,3 bds,3 ba,"1,880 sqft",,Condo,2019,No Data,No Data,No Data,"$2,473/month","$2,125",,"$22,752","$15,952/mo",$0/mo,"$2,930/mo","$1,398/mo","$2,473/mo",Not included
"1060 Park Ave APT 2B, New York, NY 10128",https://www.zillow.com/homedetails/1060-Park-Ave-APT-2B-New-York-NY-10128/244765200_zpid/,"$590,000",Co-op for sale,1 bd,1 ba,600 sqft,,Cooperative,1924,No Data,No Data,No Data,$983,,Great solar potentialSun Number™: 94.99,"$4,503","$2,294/mo",$0/mo,$433/mo,$207/mo,"$1,570/mo",Not included
"333 E 53rd St APT 6J, New York, NY 10022",https://www.zillow.com/homedetails/333-E-53rd-St-APT-6J-New-York-NY-10022/244703994_zpid/,"$1,980,000",Co-op for sale,3 bds,3 ba,"2,200 sqft","$1,924,956",Cooperative,1930,No Data,No Data,No Data,$900,,Great solar potentialSun Number™: 90.19,"$13,674","$7,906/mo",$0/mo,"$1,452/mo",$693/mo,"$3,623/mo",Not included
"230 E 20th St APT 16, New York, NY 10003",https://www.zillow.com/homedetails/230-E-20th-St-APT-16-New-York-NY-10003/2082065312_zpid/,"$1,685,000",Condo for sale,1 bd,1 ba,800 sqft,,Condo,2016,No Data,No Data,1 space,"$1,014/month","$2,106",,"$9,567","$6,728/mo",$0/mo,"$1,236/mo",$590/mo,"$1,014/mo",Not included
"1447 Point Breeze Pl, Far Rockaway, NY 11691",https://www.zillow.com/homedetails/1447-Point-Breeze-Pl-Far-Rockaway-NY-11691/32221987_zpid/,"$649,000",Apartment for sale,6 bds,4 ba,"2,340 sqft","$646,990",Multi Family,1955,No Data,No Data,No Data,$277,,Great solar potentialSun Number™: 95.01,"$3,205","$2,523/mo",$0/mo,$454/mo,$227/mo,$0/mo,Not included
"10848 Flatlands 9th St APT 27D, Brooklyn, NY 11236",https://www.zillow.com/homedetails/10848-Flatlands-9th-St-APT-27D-Brooklyn-NY-11236/30777950_zpid/,"$279,999",Condo for sale,1 bd,1 ba,781 sqft,"$341,810",Condo,1990,No Data,No Data,1 space,$490/month,$359,Great solar potentialSun Number™: 90.99,"$1,884","$1,145/mo",$0/mo,$152/mo,$98/mo,$490/mo,Not included
"99-72 66th Rd # 5F, Rego Park, NY 11374",https://www.zillow.com/homedetails/99-72-66th-Rd-5F-Rego-Park-NY-11374/245412779_zpid/,"$198,000",Co-op for sale,Studio,1 ba,450 sqft,,Cooperative,1950,No Data,No Data,No Data,$440,,Great solar potentialSun Number™: 89.4,"$1,032",$824/mo,$0/mo,$139/mo,$69/mo,$0/mo,Not included
"3434 Fulton St, Brooklyn, NY 11208",https://www.zillow.com/homedetails/3434-Fulton-St-Brooklyn-NY-11208/30643466_zpid/,"$1,250,000",Apartment for sale,6 bds,3 ba,"2,963 sqft",,Multi Family,1920,Other,No Data,No Data,$422,,Great solar potentialSun Number™: 86.99,"$6,106","$4,991/mo",$0/mo,$677/mo,$438/mo,$0/mo,Not included
"19443 114th Rd, Jamaica, NY 11412",https://www.zillow.com/homedetails/19443-114th-Rd-Jamaica-NY-11412/32158203_zpid/,"$659,000",House for sale,5 bds,3 ba,"3,000 sqft",,Single Family,1930,No Data,No Data,Attached Garage,"3,001 sqft",$220,Great solar potentialSun Number™: 91.81,"$3,254","$2,562/mo",$0/mo,$461/mo,$231/mo,$0/mo,Not included
"688 Jefferson Ave, Brooklyn, NY 11221",https://www.zillow.com/homedetails/688-Jefferson-Ave-Brooklyn-NY-11221/30604511_zpid/,"$1,200,000",For sale by owner,Studio,-- ba,"1,200 sqft",,Multi Family,1899,No Data,No Data,Off street,"$1,000",,Great solar potentialSun Number™: 78.25,"$5,861","$4,791/mo",$0/mo,$650/mo,$420/mo,$0/mo,Not included
"108-48 Flatlands 9th St # 27d FL 3, Brooklyn, NY 11236",https://www.zillow.com/homedetails/108-48-Flatlands-9th-St-27d-FL-3-Brooklyn-NY-11236/2082065970_zpid/,"$279,999",Condo for sale,1 bd,1 ba,781 sqft,,Condo,No Data,No Data,No Data,No Data,No Data,$359,,"$1,394","$1,145/mo",$0/mo,$152/mo,$98/mo,$0/mo,Not included
"586 Pennsylvania Ave, Brooklyn, NY 11207",https://www.zillow.com/homedetails/586-Pennsylvania-Ave-Brooklyn-NY-11207/30635919_zpid/,"$1,299,000",Apartment for sale,7 bds,3 ba,"2,560 sqft",,Multi Family,1910,Radiant,No Data,2 spaces,$507,,Great solar potentialSun Number™: 94.99,"$6,345","$5,187/mo",$0/mo,$704/mo,$455/mo,$0/mo,Not included
"17 Paerdegat 7 St, Brooklyn, NY 11236",https://www.zillow.com/homedetails/17-Paerdegat-7-St-Brooklyn-NY-11236/2103572759_zpid/,"$630,000",House for sale,3 bds,2 ba,"1,860 sqft",,Single Family,1965,No Data,Central,No Data,"2,600 sqft",$339,,"$3,011","$2,449/mo",$0/mo,$341/mo,$221/mo,$0/mo,Not included
"1854 E 33rd St, Brooklyn, NY 11234",https://www.zillow.com/homedetails/1854-E-33rd-St-Brooklyn-NY-11234/30783766_zpid/,"$799,000",House for sale,4 bds,3 ba,"1,816 sqft","$701,202",Single Family,1925,No Data,No Data,Attached Garage,"2,000 sqft",$440,Great solar potentialSun Number™: 95.05,"$3,819","$3,106/mo",$0/mo,$433/mo,$280/mo,$0/mo,Not included
"333 Rector Pl APT 1004, New York, NY 10280",https://www.zillow.com/homedetails/333-Rector-Pl-APT-1004-New-York-NY-10280/112514560_zpid/,"$1,950,000",Condo for sale,2 bds,2 ba,"1,299 sqft","$1,580,154",Condo,1985,No Data,No Data,Attached Garage,"$1,645/month","$1,501",Great solar potentialSun Number™: 91.6,"$11,544","$7,786/mo",$0/mo,"$1,430/mo",$683/mo,"$1,645/mo",Not included
"1965 Broadway APT 28E, New York, NY 10023",https://www.zillow.com/homedetails/1965-Broadway-APT-28E-New-York-NY-10023/31520000_zpid/,"$15,750,000",Condo for sale,6 bds,6 ba,"4,134 sqft","$13,596,260",Condo,1997,No Data,Central,No Data,"$3,543/month","$3,810",Great solar potentialSun Number™: 94.99,"$83,493","$62,888/mo",$0/mo,"$11,550/mo","$5,513/mo","$3,543/mo",Not included
"200 E 65th St APT 15D, New York, NY 10065",https://www.zillow.com/homedetails/200-E-65th-St-APT-15D-New-York-NY-10065/2082065986_zpid/,"$2,600,000",Condo for sale,2 bds,3 ba,"1,575 sqft",,Condo,1987,No Data,No Data,No Data,"$2,300/month","$1,651",,"$15,498","$10,381/mo",$0/mo,"$1,907/mo",$910/mo,"$2,300/mo",Not included
"342 E 9th St # MULTIFAMIL, Brooklyn, NY 11218",https://www.zillow.com/homedetails/342-E-9th-St-MULTIFAMIL-Brooklyn-NY-11218/2085736617_zpid/,"$1,295,000",Apartment for sale,9 bds,5 ba,"2,800 sqft",,Multi Family,1930,No Data,No Data,No Data,$462,,Candidate for a community solar programSun Number™: 23.05,"$6,325","$5,171/mo",$0/mo,$701/mo,$453/mo,$0/mo,Not included
"937 E 32nd St, Brooklyn, NY 11210",https://www.zillow.com/homedetails/937-E-32nd-St-Brooklyn-NY-11210/30751827_zpid/,"$699,000",House for sale,Studio,1 ba,"1,280 sqft","$640,015",Single Family,1925,No Data,No Data,No Data,"2,000 sqft",$546,Great solar potentialSun Number™: 86.25,"$3,341","$2,718/mo",$0/mo,$379/mo,$245/mo,$0/mo,Not included
"80 E End Ave APT 10-D, New York, NY 10028",https://www.zillow.com/homedetails/80-E-End-Ave-APT-10-D-New-York-NY-10028/79507009_zpid/,"$715,000",Co-op for sale,1 bd,1 ba,-- sqft,,Cooperative,1958,No Data,No Data,No Data,No Data,,Great solar potentialSun Number™: 94.99,"$22,814","$2,780/mo",$0/mo,$524/mo,$250/mo,"$19,260/mo",Not included
"235 E 57th St APT 10E, New York, NY 10022",https://www.zillow.com/homedetails/235-E-57th-St-APT-10E-New-York-NY-10022/2082066099_zpid/,"$1,049,000",Co-op for sale,2 bds,2 ba,-- sqft,,Cooperative,1960,No Data,Central,No Data,No Data,,,"$7,389","$4,189/mo",$0/mo,$769/mo,$367/mo,"$2,064/mo",Not included
"205 W 76th St # 7F, New York, NY 10023",https://www.zillow.com/homedetails/205-W-76th-St-7F-New-York-NY-10023/2137312133_zpid/,"$3,700,000",Condo for sale,3 bds,3 ba,"1,570 sqft","$3,506,716",Condo,2007,No Data,Central,Attached Garage,"$1,989/month","$2,357",Candidate for a community solar programSun Number™: 22.99,"$20,771","$14,774/mo",$0/mo,"$2,713/mo","$1,295/mo","$1,989/mo",Not included
"520 E 81st St APT 7J, New York, NY 10028",https://www.zillow.com/homedetails/520-E-81st-St-APT-7J-New-York-NY-10028/31545811_zpid/,"$560,000",Condo for sale,Studio,1 ba,465 sqft,"$506,325",Condo,1964,No Data,No Data,No Data,$448/month,"$1,204",Great solar potentialSun Number™: 94.19,"$3,344","$2,289/mo",$0/mo,$411/mo,$196/mo,$448/mo,Not included
"342 Edinboro Rd, Staten Island, NY 10306",https://www.zillow.com/homedetails/342-Edinboro-Rd-Staten-Island-NY-10306/32311412_zpid/,"$725,000",House for sale,3 bds,2 ba,"1,029 sqft","$685,457",Single Family,1955,Gas,Central,Attached Garage,"5,998 sqft",$705,Candidate for a community solar programSun Number™: 23.02,"$3,598","$2,819/mo",$0/mo,$526/mo,$254/mo,$0/mo,Not included
"9060 184th Pl, Jamaica, NY 11423",https://www.zillow.com/homedetails/9060-184th-Pl-Jamaica-NY-11423/32134660_zpid/,"$675,000",House for sale,4 bds,3 ba,"1,440 sqft","$662,081",Single Family,1920,Other,No Data,Detached Garage,"2,500 sqft",$469,Great solar potentialSun Number™: 75.01,"$3,333","$2,624/mo",$0/mo,$473/mo,$236/mo,$0/mo,Not included
"273 Bay 19 St # A FL 1, Brooklyn, NY 11214",https://www.zillow.com/homedetails/273-Bay-19-St-A-FL-1-Brooklyn-NY-11214/2085817470_zpid/,"$429,000",Co-op for sale,2 bds,1 ba,800 sqft,,Cooperative,No Data,No Data,No Data,No Data,$536,,,"$2,716","$1,754/mo",$0/mo,$232/mo,$150/mo,$580/mo,Not included
"15325 88th St APT 6K, Howard Beach, NY 11414",https://www.zillow.com/homedetails/15325-88th-St-APT-6K-Howard-Beach-NY-11414/89467349_zpid/,"$247,000",Co-op for sale,2 bds,2 ba,-- sqft,"$250,482",Cooperative,1960,Other,Other,No Data,No Data,,Great solar potentialSun Number™: 84.59,"$1,287","$1,028/mo",$0/mo,$173/mo,$86/mo,$0/mo,Not included
"8 Jackson Ct, Brooklyn, NY 11209",https://www.zillow.com/homedetails/8-Jackson-Ct-Brooklyn-NY-11209/30702371_zpid/,"$925,000",Apartment for sale,4 bds,2 ba,"1,988 sqft",,Multi Family,1940,No Data,No Data,Attached Garage,$465,,Great solar potentialSun Number™: 85.4,"$4,518","$3,693/mo",$0/mo,$501/mo,$324/mo,$0/mo,Not included
"2409 Albemarle Rd, Brooklyn, NY 11226",https://www.zillow.com/homedetails/2409-Albemarle-Rd-Brooklyn-NY-11226/30666599_zpid/,"$1,249,000",Apartment for sale,5 bds,5 ba,"3,000 sqft",,Multi Family,2002,Gas,Central,"Carport, Off street",$416,,Great solar potentialSun Number™: 89.45,"$6,101","$4,987/mo",$0/mo,$677/mo,$437/mo,$0/mo,Not included
"1603 Avenue K, Brooklyn, NY 11230",https://www.zillow.com/homedetails/1603-Avenue-K-Brooklyn-NY-11230/30724734_zpid/,"$1,399,000",House for sale,Studio,1 ba,"2,048 sqft","$1,326,455",Single Family,1920,No Data,No Data,No Data,"4,000 sqft",$683,Great solar potentialSun Number™: 90.25,"$6,833","$5,586/mo",$0/mo,$758/mo,$490/mo,$0/mo,Not included
"355 Pacific St, Brooklyn, NY 11217",https://www.zillow.com/homedetails/355-Pacific-St-Brooklyn-NY-11217/30566605_zpid/,"$4,999,000",Townhouse for sale,4 bds,3 ba,"3,440 sqft",,Townhouse,1901,No Data,Central,No Data,"2,000 sqft","$1,453",Candidate for a community solar programSun Number™: 23.05,"$24,418","$19,960/mo",$0/mo,"$2,708/mo","$1,750/mo",$0/mo,Not included
"75 Wall St APT 28C, New York, NY 10005",https://www.zillow.com/homedetails/75-Wall-St-APT-28C-New-York-NY-10005/89333846_zpid/,"$1,795,000",Condo for sale,2 bds,2 ba,"1,352 sqft","$1,718,010",Condo,1987,No Data,No Data,Attached Garage,"$1,576/month","$1,328",Great solar potentialSun Number™: 83.02,"$10,688","$7,167/mo",$0/mo,"$1,316/mo",$628/mo,"$1,576/mo",Not included
"120 Riverside Blvd # 15H-WEST, New York, NY 10069",https://www.zillow.com/homedetails/120-Riverside-Blvd-15H-WEST-New-York-NY-10069/2082066652_zpid/,"$1,199,000",Condo for sale,1 bd,1 ba,805 sqft,,Condo,2004,No Data,No Data,No Data,"$1,070/month","$1,489",,"$7,156","$4,787/mo",$0/mo,$879/mo,$420/mo,"$1,070/mo",Not included
"169 Spring St # 4W, New York, NY 10012",https://www.zillow.com/homedetails/169-Spring-St-4W-New-York-NY-10012/2082066651_zpid/,"$3,150,000",Co-op for sale,2 bds,2 ba,"1,800 sqft",,Cooperative,1910,No Data,No Data,No Data,"$1,750",,,"$17,874","$12,578/mo",$0/mo,"$2,310/mo","$1,103/mo","$1,884/mo",Not included
"161 W 129th St, New York, NY 10027",https://www.zillow.com/homedetails/161-W-129th-St-New-York-NY-10027/2082066650_zpid/,"$2,100,000",Townhouse for sale,Studio,1 ba,-- sqft,,Townhouse,2000,No Data,No Data,No Data,No Data,No Data,,"$10,660","$8,385/mo",$0/mo,"$1,540/mo",$735/mo,$0/mo,Not included
"4 E 62nd St # PHF3, New York, NY 10065",https://www.zillow.com/homedetails/4-E-62nd-St-PHF3-New-York-NY-10065/2087841785_zpid/,"$8,375,000",Condo for sale,2 bds,3 ba,"2,500 sqft",,Condo,1910,No Data,No Data,No Data,"$7,829/month","$3,350",,"$50,342","$33,440/mo",$0/mo,"$6,142/mo","$2,931/mo","$7,829/mo",Not included
"145-146 Central Park W # 15EF, Manhattan, NY 10023",https://www.zillow.com/homedetails/145-146-Central-Park-W-15EF-Manhattan-NY-10023/2082066649_zpid/,"$25,000,000",Co-op for sale,4 bds,6 ba,-- sqft,,Cooperative,1930,No Data,No Data,No Data,No Data,,,"$140,912","$99,822/mo",$0/mo,"$18,333/mo","$8,750/mo","$14,007/mo",Not included
"58 W 58th St APT 4C, New York, NY 10019",https://www.zillow.com/homedetails/58-W-58th-St-APT-4C-New-York-NY-10019/31527306_zpid/,"$1,499,000",Condo for sale,3 bds,3 ba,"1,437 sqft","$2,011,296",Condo,1969,Forced air,Central,Attached Garage,"$1,676/month","$1,043",,"$9,285","$5,985/mo",$0/mo,"$1,099/mo",$525/mo,"$1,676/mo",Not included
"240 Riverside Blvd APT 6E, New York, NY 10069",https://www.zillow.com/homedetails/240-Riverside-Blvd-APT-6E-New-York-NY-10069/2087646727_zpid/,"$3,995,000",Condo for sale,3 bds,4 ba,"1,970 sqft","$3,765,402",Condo,2004,No Data,Central,No Data,"$3,518/month","$2,028",,"$23,797","$15,952/mo",$0/mo,"$2,930/mo","$1,398/mo","$3,518/mo",Not included
"50 Sutton Pl S APT 8D, New York, NY 10022",https://www.zillow.com/homedetails/50-Sutton-Pl-S-APT-8D-New-York-NY-10022/72526410_zpid/,"$825,000",Co-op for sale,1 bd,2 ba,-- sqft,,Cooperative,1955,No Data,No Data,No Data,No Data,,Great solar potentialSun Number™: 94.99,"$6,102","$3,208/mo",$0/mo,$605/mo,$289/mo,"$2,001/mo",Not included
"923 E 84th St, Brooklyn, NY 11236",https://www.zillow.com/homedetails/923-E-84th-St-Brooklyn-NY-11236/30769301_zpid/,"$550,000",House for sale,2 bds,1 ba,"1,000 sqft","$471,393",Single Family,1930,No Data,No Data,No Data,"2,178 sqft",$550,Great solar potentialSun Number™: 84.65,"$2,739","$2,249/mo",$0/mo,$298/mo,$193/mo,$0/mo,Not included
"525 Saint Lawrence Ave, Bronx, NY 10473",https://www.zillow.com/homedetails/525-Saint-Lawrence-Ave-Bronx-NY-10473/29791798_zpid/,"$475,000",House for sale,4 bds,2 ba,"1,200 sqft","$515,670",Single Family,1945,Gas,None,Attached Garage,"3,001 sqft",$396,Great solar potentialSun Number™: 91,"$2,484","$1,942/mo",$0/mo,$376/mo,$166/mo,$0/mo,Not included
