Address,Title_link,Sale price,list-card-type,Area,Zestimate,Type,Year built,Heating,Cooling,Parking,HOA / Lot,Price / sqft,Green energy,Monthly cost,Principal & interest,Mortage insurance,Property taxes,Home insurance,HOA fees,Utilities
"Unit 809 Plan, PARAMOUNT Miami Worldcenter",https://www.zillow.com/community/paramount-miami-worldcenter/2082434268_zpid/,"$1,201,000+",New construction,"1,733 sqft","$1,088,239",Condo,2019,No Data,No Data,1 space,No Data,$693,,"$6,228",,,,,,
"3550 Vista Ct, Miami, FL 33133",https://www.zillow.com/homedetails/3550-Vista-Ct-Miami-FL-33133/43856034_zpid/,"$1,195,000",House for sale,"2,063 sqft",,Single Family,1950,Forced air,Central,1 space,"7,501 sqft",$579,Great solar potentialSun Number™: 88.63,"$6,197","$4,663/mo",$0/mo,"$1,115/mo",$418/mo,$0/mo,Not included
"2331 NW Flagler Ter, Miami, FL 33125",https://www.zillow.com/homedetails/2331-NW-Flagler-Ter-Miami-FL-33125/43839309_zpid/,"$440,000",House for sale,"1,294 sqft","$419,610",Single Family,1951,Forced air,Central,Carport,"5,501 sqft",$340,Great solar potentialSun Number™: 94.23,"$2,206","$1,641/mo",$0/mo,$411/mo,$154/mo,$0/mo,Not included
"4191 Battersea Rd, Miami, FL 33133",https://www.zillow.com/homedetails/4191-Battersea-Rd-Miami-FL-33133/43864491_zpid/,"$899,900",House for sale,"1,914 sqft","$870,969",Single Family,1949,Forced air,Central,No Data,"9,104 sqft",$470,Great solar potentialSun Number™: 91.03,"$4,667","$3,512/mo",$0/mo,$840/mo,$315/mo,$0/mo,Not included
"2635 Tigertail Ave # 2635, Miami, FL 33133",https://www.zillow.com/homedetails/2635-Tigertail-Ave-2635-Miami-FL-33133/2095565053_zpid/,"$799,900",Townhouse for sale,"2,637 sqft","$759,975",Townhouse,2001,Forced air,Central,Off street,"2,637 sqft",$303,,"$4,314","$3,121/mo",$0/mo,$747/mo,$280/mo,$166/mo,Not included
"3301 NE 1st Ave APT H0905, Miami, FL 33137",https://www.zillow.com/homedetails/3301-NE-1st-Ave-APT-H0905-Miami-FL-33137/92436838_zpid/,"$279,000",Condo for sale,761 sqft,"$265,225",Condo,2008,Forced air,Other,Detached Garage,$535/month,$367,Great solar potentialSun Number™: 94.2,"$1,934","$1,041/mo",$0/mo,$260/mo,$98/mo,$535/mo,Not included
"200 Biscayne Blvd Way APT 3908, Miami, FL 33131",https://www.zillow.com/homedetails/200-Biscayne-Blvd-Way-APT-3908-Miami-FL-33131/2129796920_zpid/,"$875,000",Condo for sale,"1,500 sqft","$825,289",Condo,2008,Forced air,Central,Attached Garage,"$1,700/month",$583,Great solar potentialSun Number™: 94.3,"$6,237","$3,415/mo",$0/mo,$817/mo,$306/mo,"$1,700/mo",Not included
"851 NE 1st # 3412, Miami, FL 33131",https://www.zillow.com/homedetails/851-NE-1st-3412-Miami-FL-33131/2082257339_zpid/,"$1,295,000",Condo for sale,-- sqft,"$1,229,170",Condo,2019,Forced air,Central,No Data,"$1,780/month",No Data,,"$8,495","$5,054/mo",$0/mo,"$1,209/mo",$453/mo,"$1,780/mo",Not included
"2101 Brickell Ave APT 2602, Miami, FL 33129",https://www.zillow.com/homedetails/2101-Brickell-Ave-APT-2602-Miami-FL-33129/64508808_zpid/,"$345,000",Condo for sale,791 sqft,"$327,201",Condo,2004,Forced air,Central,No Data,$520/month,$436,Great solar potentialSun Number™: 89.5,"$2,249","$1,287/mo",$0/mo,$322/mo,$121/mo,$520/mo,Not included
"1331 Brickell Bay Dr APT 611, Miami, FL 33131",https://www.zillow.com/homedetails/1331-Brickell-Bay-Dr-APT-611-Miami-FL-33131/64658244_zpid/,"$698,000",Condo for sale,"1,293 sqft","$650,567",Condo,2004,Forced air,Central,Attached Garage,"$1,220/month",$540,Great solar potentialSun Number™: 94.3,"$4,840","$2,724/mo",$0/mo,$651/mo,$244/mo,"$1,220/mo",Not included
"1050 Brickell Ave APT 2418, Miami, FL 33131",https://www.zillow.com/homedetails/1050-Brickell-Ave-APT-2418-Miami-FL-33131/92441859_zpid/,"$330,000",Condo for sale,"1,128 sqft","$311,569",Condo,2008,Forced air,Central,1 space,$878/month,$293,Great solar potentialSun Number™: 92.7,"$2,532","$1,231/mo",$0/mo,$308/mo,$116/mo,$878/mo,Not included
"Withhold SW # 0, Miami, FL 33130",https://www.zillow.com/homedetails/Withhold-SW-0-Miami-FL-33130/2082258861_zpid/,"$585,000",Apartment for sale,-- sqft,"$550,896",Multi Family,1941,No Data,No Data,No Data,No Data,,,"$2,887","$2,137/mo",$0/mo,$546/mo,$205/mo,$0/mo,Not included
"50 Biscayne Blvd APT 2806, Miami, FL 33132",https://www.zillow.com/homedetails/50-Biscayne-Blvd-APT-2806-Miami-FL-33132/82060286_zpid/,"$529,900",Foreclosure,"1,322 sqft","$457,158",Condo,2007,Forced air,Central,Attached Garage,$964/month,$401,Great solar potentialSun Number™: 94.3,"$3,620","$1,976/mo",$0/mo,$495/mo,$185/mo,$964/mo,Not included
"4325 Lennox Dr, Coconut Grove, FL 33133",https://www.zillow.com/homedetails/4325-Lennox-Dr-Coconut-Grove-FL-33133/43864353_zpid/,"$1,699,000",House for sale,"3,318 sqft","$1,570,693",Single Family,1946,Forced air,Central,2 spaces,0.31 acres,$512,Great solar potentialSun Number™: 91.83,"$8,810","$6,630/mo",$0/mo,"$1,586/mo",$595/mo,$0/mo,Not included
"1020 NE 83rd St, Miami, FL 33138",https://www.zillow.com/homedetails/1020-NE-83rd-St-Miami-FL-33138/43828399_zpid/,"$624,900",House for sale,"1,491 sqft","$594,646",Single Family,1954,Forced air,Central,3 spaces,"5,553 sqft",$419,Great solar potentialSun Number™: 94.2,"$3,241","$2,439/mo",$0/mo,$583/mo,$219/mo,$0/mo,Not included
"335 S Biscayne Blvd APT 4201, Miami, FL 33131",https://www.zillow.com/homedetails/335-S-Biscayne-Blvd-APT-4201-Miami-FL-33131/70776462_zpid/,"$480,000",Condo for sale,"1,145 sqft","$449,435",Condo,2005,Forced air,Central,2 spaces,$615/month,$419,Great solar potentialSun Number™: 89.5,"$3,021","$1,790/mo",$0/mo,$448/mo,$168/mo,$615/mo,Not included
"2843 S Bayshore Dr APT 3C, Miami, FL 33133",https://www.zillow.com/homedetails/2843-S-Bayshore-Dr-APT-3C-Miami-FL-33133/43862452_zpid/,"$649,000",Condo for sale,"1,388 sqft","$616,353",Condo,1982,Forced air,Central,4 spaces,"$1,312/month",$468,Great solar potentialSun Number™: 93.42,"$4,678","$2,533/mo",$0/mo,$606/mo,$227/mo,"$1,312/mo",Not included
"1200 Brickell Bay Dr APT 4020, Miami, FL 33131",https://www.zillow.com/homedetails/1200-Brickell-Bay-Dr-APT-4020-Miami-FL-33131/64719169_zpid/,"$295,000",Condo for sale,825 sqft,"$281,370",Condo,2005,Forced air,Central,1 space,$584/month,$358,Great solar potentialSun Number™: 94.3,"$2,063","$1,100/mo",$0/mo,$275/mo,$103/mo,$584/mo,Not included
"50 Biscayne Blvd APT 2005, Miami, FL 33132",https://www.zillow.com/homedetails/50-Biscayne-Blvd-APT-2005-Miami-FL-33132/82066577_zpid/,"$285,000",Condo for sale,845 sqft,"$270,384",Condo,2007,Forced air,Central,1 space,$566/month,$337,Great solar potentialSun Number™: 94.3,"$1,995","$1,063/mo",$0/mo,$266/mo,$100/mo,$566/mo,Not included
"740 NE 76th St, Miami, FL 33138",https://www.zillow.com/homedetails/740-NE-76th-St-Miami-FL-33138/43827303_zpid/,"$660,000",House for sale,"1,330 sqft","$635,512",Single Family,1950,Forced air,Central,Attached Garage,"6,150 sqft",$496,Great solar potentialSun Number™: 94.2,"$3,423","$2,576/mo",$0/mo,$616/mo,$231/mo,$0/mo,Not included
