Title,Title_link,list-card-price,list-card-type,Bedrooms,Bathrooms,list-card-details,Zestimate,Type,Year built,Heating,Cooling,Parking,HOA / Lot,Price / sqft,Sunscore,Monthly cost,Mortage insurance,Principal & interest,Property taxes,Home insurance,HOA fee,Utilities
"5010 Montcalm Dr SW, Atlanta, GA 30331",https://www.zillow.com/homedetails/5010-Montcalm-Dr-SW-Atlanta-GA-30331/65451249_zpid/,"$265,000",House for sale,4 bds,3 ba,"2,464 sqft","$259,456",Single Family,1992,Forced air,Central,2 spaces,0.42 acres,$108,Great solar potentialSun Number™: 78.61,"$1,339",$0/mo,$973/mo,$236/mo,$93/mo,$37/mo,Not included
"675 Greenwood Ave NE APT 102, Atlanta, GA 30306",https://www.zillow.com/homedetails/675-Greenwood-Ave-NE-APT-102-Atlanta-GA-30306/71757341_zpid/,"$799,900",Condo for sale,2 bds,3 ba,"1,849 sqft","$795,094",Condo,1925,Forced air,Central,1 space,$424/month,$433,,"$4,541",$0/mo,"$3,124/mo",$713/mo,$280/mo,$424/mo,Not included
"904 Coleman St SW, Atlanta, GA 30310",https://www.zillow.com/homedetails/904-Coleman-St-SW-Atlanta-GA-30310/35890391_zpid/,"$178,999",House for sale,2 bds,2 ba,968 sqft,"$175,982",Single Family,1920,Heat pump,Central,No Data,"2,613 sqft",$185,Great solar potentialSun Number™: 91.42,$911,$0/mo,$689/mo,$160/mo,$63/mo,$0/mo,Not included
"49 Ivy Trl NE, Atlanta, GA 30342",https://www.zillow.com/homedetails/49-Ivy-Trl-NE-Atlanta-GA-30342/35942563_zpid/,"$324,900",Townhouse for sale,3 bds,3 ba,"1,632 sqft","$316,040",Townhouse,1972,Forced air,Central,2 spaces,"1,633 sqft",$199,Good solar potentialSun Number™: 66.61,"$1,976",$0/mo,"$1,193/mo",$290/mo,$114/mo,$380/mo,Not included
"1167 Rosewood Dr NE, Atlanta, GA 30306",https://www.zillow.com/homedetails/1167-Rosewood-Dr-NE-Atlanta-GA-30306/35895448_zpid/,"$1,550,000",House for sale,7 bds,6 ba,"6,017 sqft","$1,494,642",Single Family,2006,Forced air,Central,No Data,"8,141 sqft",$258,Candidate for a community solar programSun Number™: 20.23,"$7,978",$0/mo,"$6,053/mo","$1,382/mo",$543/mo,$0/mo,Not included
"3667 Bunker Hill Dr SW, Atlanta, GA 30331",https://www.zillow.com/homedetails/3667-Bunker-Hill-Dr-SW-Atlanta-GA-30331/35881528_zpid/,"$89,900",House for sale,3 bds,1 ba,925 sqft,"$89,747",Single Family,1955,Forced air,Central,No Data,0.28 acres,$97,Candidate for a community solar programSun Number™: 20.23,$481,$0/mo,$370/mo,$80/mo,$31/mo,$0/mo,Not included
"1644 Habershal Rd NW, Atlanta, GA 30318",https://www.zillow.com/homedetails/1644-Habershal-Rd-NW-Atlanta-GA-30318/88823958_zpid/,"$389,000",House for sale,3 bds,3 ba,"2,052 sqft",,Single Family,2009,"Forced air, Other",Central,2 spaces,"5,662 sqft",$190,Great solar potentialSun Number™: 83.42,"$2,023",$0/mo,"$1,428/mo",$347/mo,$136/mo,$112/mo,Not included
"2652 Acorn Ave NE, Atlanta, GA 30305",https://www.zillow.com/homedetails/2652-Acorn-Ave-NE-Atlanta-GA-30305/35896108_zpid/,"$825,000",House for sale,5 bds,4 ba,"3,114 sqft","$814,566",Single Family,1943,Forced air,Central,1 space,"7,492 sqft",$265,"{""targetDiv"":""gpt-ad-6b1f8ecd-e3ab-4faa-9673-c59740c2c6a6"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""2652 Acorn Ave NE"",""bd"":""5"",""fsbid"":""15050"",""city"":""Atlanta"",""proptp"":""sfh"",""pid"":""35896108"",""lot"":""2"",""zestibuck"":""800-899k"",""listtp"":""buy_agent"",""zguidh"":""-3142740755904133666"",""sqftrange"":""3000-3499"",""price"":""825000"",""oh"":""yes"",""sqft"":""3114"",""posting_url"":""http://www.scottfinehomes.com"",""mlong"":""-84.378759"",""state"":""GA"",""park"":""yes"",""prange"":""800-899k"",""zip"":""30305"",""mlat"":""33.827474"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISf4w7zvwseu101000000000.jpg"",""zusr"":""true"",""price_band"":""z800"",""hood"":""Peachtree_Heights_East"",""yrblt"":""1940-1959"",""zestimate"":""814566"",""premieragent"":""no""}}","$4,246",$0/mo,"$3,222/mo",$736/mo,$289/mo,$0/mo,Not included
"3530 Piedmont Rd NE APT 1E, Atlanta, GA 30305",https://www.zillow.com/homedetails/3530-Piedmont-Rd-NE-APT-1E-Atlanta-GA-30305/35942974_zpid/,"$350,000",House for sale,3 bds,2 ba,"1,808 sqft",,Single Family,1983,Forced air,Central,No Data,"1,808 sqft",$194,,"$1,720",$0/mo,"$1,285/mo",$312/mo,$123/mo,$0/mo,Not included
"1756 W Paces Ferry Rd NW, Atlanta, GA 30327",https://www.zillow.com/homedetails/1756-W-Paces-Ferry-Rd-NW-Atlanta-GA-30327/35920023_zpid/,"$1,495,000",House for sale,4 bds,6 ba,"5,000 sqft","$1,434,861",Single Family,1984,Forced air,Central,Attached Garage,1 acre,$299,Great solar potentialSun Number™: 81.01,"$7,694",$0/mo,"$5,838/mo","$1,333/mo",$523/mo,$0/mo,Not included
