Title,Title_link,list-card-price,list-card-type,Bedrooms,Bathrooms,list-card-details,Zestimate,Type,Year built,Heating,Cooling,Parking,HOA / Lot,Price / sqft,Sunscore,Monthly cost,Mortage insurance,Principal & interest,Property taxes,Home insurance,HOA fee,Utilities
"491 Collier Rd NW, Atlanta, GA 30318",https://www.zillow.com/homedetails/491-Collier-Rd-NW-Atlanta-GA-30318/35908261_zpid/,"$774,000",House for sale,4 bds,4 ba,"2,952 sqft","$763,708",Single Family,1932,Forced air,Central,2 spaces,0.39 acres,$262,Candidate for a community solar programSun Number™: 20.21,"$3,984",$0/mo,"$3,023/mo",$690/mo,$271/mo,$0/mo,Not included
"274 Josephine St NE, Atlanta, GA 30307",https://www.zillow.com/homedetails/274-Josephine-St-NE-Atlanta-GA-30307/14468506_zpid/,"$559,900",House for sale,3 bds,3 ba,"1,800 sqft","$544,489",Single Family,2019,Forced air,Central,3 spaces,"4,199 sqft",$311,Great solar potentialSun Number™: 77.83,"$2,769",$0/mo,"$2,056/mo",$518/mo,$196/mo,$0/mo,Not included
"788 Mercer St SE, Atlanta, GA",https://www.zillow.com/homedetails/788-Mercer-St-SE-Atlanta-GA-30312/249120834_zpid/,"$690,000",New construction,4 bds,4 ba,"2,710 sqft",,Single Family,2019,Forced air,Central,2 spaces,"8,537 sqft",$255,Candidate for a community solar programSun Number™: 20.23,"$3,551",$0/mo,"$2,695/mo",$615/mo,$242/mo,$0/mo,Not included
"123 Vanira Ave SE, Atlanta, GA 30315",https://www.zillow.com/homedetails/123-Vanira-Ave-SE-Atlanta-GA-30315/35882667_zpid/,"$300,000",House for sale,4 bds,2 ba,"1,254 sqft",,Single Family,1925,Forced air,Central,2 spaces,"3,998 sqft",$239,Limited solar potentialSun Number™: 45.03,"$1,474",$0/mo,"$1,101/mo",$268/mo,$105/mo,$0/mo,Not included
"33 Chappell Rd NW, Atlanta, GA 30314",https://www.zillow.com/homedetails/33-Chappell-Rd-NW-Atlanta-GA-30314/35843673_zpid/,"$140,000",House for sale,2 bds,2 ba,"1,280 sqft","$135,700",Single Family,1940,None,None,No Data,"8,712 sqft",$109,Limited solar potentialSun Number™: 45.02,$713,$0/mo,$539/mo,$125/mo,$49/mo,$0/mo,Not included
"702 Grant Ter SE, Atlanta, GA",https://www.zillow.com/homedetails/702-Grant-Ter-SE-Atlanta-GA-30315/2091097082_zpid/,"$675,000",New construction,4 bds,4 ba,"2,200 sqft","$663,750",Single Family,2019,Gas,No Data,1 space,"3,397 sqft",$307,,"$3,474",$0/mo,"$2,636/mo",$602/mo,$236/mo,$0/mo,Not included
"4620 Club Valley Dr NE, Atlanta, GA 30319",https://www.zillow.com/homedetails/4620-Club-Valley-Dr-NE-Atlanta-GA-30319/35905187_zpid/,"$1,550,000",House for sale,5 bds,5 ba,"3,914 sqft","$1,480,596",Single Family,1959,Forced air,Central,2 spaces,0.49 acres,$396,Candidate for a community solar programSun Number™: 20.21,"$7,978",$0/mo,"$6,053/mo","$1,382/mo",$543/mo,$0/mo,Not included
"1964 Walthall Dr NW, Atlanta, GA 30318",https://www.zillow.com/homedetails/1964-Walthall-Dr-NW-Atlanta-GA-30318/35908530_zpid/,"$1,195,000",House for sale,4 bds,3 ba,"2,788 sqft",,Single Family,1940,Forced air,Central,Detached Garage,0.35 acres,$429,Limited solar potentialSun Number™: 43.41,"$6,150",$0/mo,"$4,667/mo","$1,066/mo",$418/mo,$0/mo,Not included
"266 11th St NE UNIT 203, Atlanta, GA 30309",https://www.zillow.com/homedetails/266-11th-St-NE-UNIT-203-Atlanta-GA-30309/61888547_zpid/,"$324,900",Condo for sale,1 bd,1 ba,833 sqft,"$318,892",Condo,1911,Forced air,Central,1 space,$351/month,$390,,"$1,947",$0/mo,"$1,193/mo",$290/mo,$114/mo,$351/mo,Not included
"644 Bryan St SE, Atlanta, GA 30312",https://www.zillow.com/homedetails/644-Bryan-St-SE-Atlanta-GA-30312/35865516_zpid/,"$300,000",House for sale,3 bds,3 ba,"2,178 sqft","$293,849",Single Family,1920,Forced air,Central,No Data,"6,098 sqft",$138,Candidate for a community solar programSun Number™: 20.23,"$1,474",$0/mo,"$1,101/mo",$268/mo,$105/mo,$0/mo,Not included
"2895 Nancy Creek Rd NW, Atlanta, GA 30327",https://www.zillow.com/homedetails/2895-Nancy-Creek-Rd-NW-Atlanta-GA-30327/35921906_zpid/,"$1,799,000",House for sale,6 bds,6 ba,"5,765 sqft","$1,686,698",Single Family,2000,Forced air,Central,Attached Garage,2.46 acres,$312,,"$9,259",$0/mo,"$7,025/mo","$1,604/mo",$630/mo,$0/mo,Not included
"743 Wildwood Pl NE, Atlanta, GA 30324",https://www.zillow.com/homedetails/743-Wildwood-Pl-NE-Atlanta-GA-30324/35929658_zpid/,"$699,000",House for sale,3 bds,3 ba,"2,100 sqft","$678,814",Single Family,1939,Forced air,Central,2 spaces,0.4 acres,$333,Candidate for a community solar programSun Number™: 20.21,"$3,598",$0/mo,"$2,730/mo",$623/mo,$245/mo,$0/mo,Not included
"1887 Lenox Rd NE, Atlanta, GA 30306",https://www.zillow.com/homedetails/1887-Lenox-Rd-NE-Atlanta-GA-30306/35927130_zpid/,"$875,000",House for sale,3 bds,3 ba,"2,873 sqft","$851,466",Single Family,1954,Forced air,Central,2 spaces,0.85 acres,$305,Great solar potentialSun Number™: 92.21,"$4,503",$0/mo,"$3,417/mo",$780/mo,$306/mo,$0/mo,Not included
"1392 Piedmont Ave NE, Atlanta, GA 30309",https://www.zillow.com/homedetails/1392-Piedmont-Ave-NE-Atlanta-GA-30309/35931511_zpid/,"$1,049,000",House for sale,4 bds,4 ba,"3,400 sqft","$1,013,929",Single Family,1913,Forced air,Central,4 spaces,"6,882 sqft",$309,Great solar potentialSun Number™: 92.23,"$5,399",$0/mo,"$4,096/mo",$935/mo,$367/mo,$0/mo,Not included
"182 Adair Ave SE, Atlanta, GA",https://www.zillow.com/homedetails/182-Adair-Ave-SE-Atlanta-GA-30315/35883453_zpid/,"$284,900",New construction,3 bds,3 ba,"1,900 sqft","$279,720",Single Family,2019,Heat pump,Central,No Data,"10,741 sqft",$150,Good solar potentialSun Number™: 63.43,"$1,400",$0/mo,"$1,046/mo",$254/mo,$100/mo,$0/mo,Not included
"950 W Peachtree St NW UNIT 1310, Atlanta, GA 30309",https://www.zillow.com/homedetails/950-W-Peachtree-St-NW-UNIT-1310-Atlanta-GA-30309/2082892209_zpid/,"$316,900",Condo for sale,1 bd,1 ba,866 sqft,"$307,866",Condo,2006,No Data,No Data,2 spaces,$345/month,$366,,"$1,902",$0/mo,"$1,163/mo",$283/mo,$111/mo,$345/mo,Not included
"3169 Verdun Dr NW, Atlanta, GA 30305",https://www.zillow.com/homedetails/3169-Verdun-Dr-NW-Atlanta-GA-30305/35907468_zpid/,"$1,195,000",House for sale,5 bds,4 ba,"4,328 sqft","$1,153,649",Single Family,1958,"Forced air, Heat pump",Central,2 spaces,0.47 acres,$276,Candidate for a community solar programSun Number™: 20.21,"$6,150",$0/mo,"$4,667/mo","$1,066/mo",$418/mo,$0/mo,Not included
"1118 Mecaslin St NW, Atlanta, GA 30318",https://www.zillow.com/homedetails/1118-Mecaslin-St-NW-Atlanta-GA-30318/65442090_zpid/,$--,Pre-foreclosure / Auction,4 bds,2 ba,"1,188 sqft",,Single Family,1950,Forced air,Central,4 spaces,"5,227 sqft",,Limited solar potentialSun Number™: 41.83,$0,$0/mo,$0/mo,$0/mo,$0/mo,$0/mo,Not included
"943 Peachtree St NE UNIT 1704, Atlanta, GA 30309",https://www.zillow.com/homedetails/943-Peachtree-St-NE-UNIT-1704-Atlanta-GA-30309/65468931_zpid/,"$287,900",Condo for sale,1 bd,1 ba,768 sqft,"$283,588",Condo,2002,Forced air,Central,No Data,$358/month,$375,,"$1,772",$0/mo,"$1,057/mo",$257/mo,$101/mo,$358/mo,Not included
"3324 Peachtree Rd NE UNIT 2105, Atlanta, GA 30326",https://www.zillow.com/homedetails/3324-Peachtree-Rd-NE-UNIT-2105-Atlanta-GA-30326/82627723_zpid/,"$439,000",Condo for sale,2 bds,2 ba,"1,238 sqft","$431,773",Condo,2005,Forced air,Central,4 spaces,$540/month,$355,,"$2,697",$0/mo,"$1,612/mo",$391/mo,$154/mo,$540/mo,Not included
"114 Warren St SE, Atlanta, GA",https://www.zillow.com/homedetails/114-Warren-St-SE-Atlanta-GA-30317/14466508_zpid/,"$829,900",New construction,5 bds,4 ba,"3,895 sqft","$800,513",Single Family,2019,Forced air,Central,2 spaces,0.4 acres,$213,Good solar potentialSun Number™: 62.63,"$4,299",$0/mo,"$3,241/mo",$768/mo,$290/mo,$0/mo,Not included
"250 Park Avenue West NW UNIT 903, Atlanta, GA 30313",https://www.zillow.com/homedetails/250-Park-Avenue-West-NW-UNIT-903-Atlanta-GA-30313/65462652_zpid/,"$372,000",Condo for sale,2 bds,2 ba,"1,525 sqft","$365,381",Condo,2002,Forced air,Central,1 space,$560/month,$244,,"$2,388",$0/mo,"$1,366/mo",$332/mo,$130/mo,$560/mo,Not included
"2535 Macon Dr SW, Atlanta, GA 30315",https://www.zillow.com/homedetails/2535-Macon-Dr-SW-Atlanta-GA-30315/35886434_zpid/,"$72,000",House for sale,3 bds,2 ba,"1,008 sqft",,Single Family,1929,Forced air,Central,No Data,0.54 acres,$71,Candidate for a community solar programSun Number™: 20.22,$385,$0/mo,$296/mo,$64/mo,$25/mo,$0/mo,Not included
"934 Winall Down Rd NE, Atlanta, GA 30319",https://www.zillow.com/homedetails/934-Winall-Down-Rd-NE-Atlanta-GA-30319/35900452_zpid/,"$1,895,000",House for sale,4 bds,5 ba,"4,659 sqft","$1,818,175",Single Family,2019,Forced air,Central,Attached Garage,0.52 acres,$407,Candidate for a community solar programSun Number™: 20.21,"$9,761",$0/mo,"$7,400/mo","$1,690/mo",$663/mo,$8/mo,Not included
"3610 Randall Mill Rd NW, Atlanta, GA 30327",https://www.zillow.com/homedetails/3610-Randall-Mill-Rd-NW-Atlanta-GA-30327/65442143_zpid/,"$4,342,000",House for sale,6 bds,9 ba,"9,943 sqft","$4,000,251",Single Family,2000,Forced air,Central,Attached Garage,1.55 acres,$437,Great solar potentialSun Number™: 92.21,"$22,347",$0/mo,"$16,956/mo","$3,872/mo","$1,520/mo",$0/mo,Not included
"1727 Piper Cir SE, Atlanta, GA 30316",https://www.zillow.com/homedetails/1727-Piper-Cir-SE-Atlanta-GA-30316/14446891_zpid/,"$258,000",House for sale,2 bds,2 ba,"1,073 sqft","$255,950",Single Family,1946,Forced air,Central,6 spaces,"8,712 sqft",$240,Candidate for a community solar programSun Number™: 20.23,"$1,276",$0/mo,$947/mo,$239/mo,$90/mo,$0/mo,Not included
"488 Joseph E Lowery Blvd NW, Atlanta, GA 30314",https://www.zillow.com/homedetails/488-Joseph-E-Lowery-Blvd-NW-Atlanta-GA-30314/35833812_zpid/,"$89,000",For sale by owner,2 bds,1 ba,853 sqft,"$93,811",Single Family,1930,Forced air,Central,No Data,"6,969 sqft",$104,Great solar potentialSun Number™: 73.82,$476,$0/mo,$366/mo,$79/mo,$31/mo,$0/mo,Not included
"877 Penn Ave NE, Atlanta, GA 30309",https://www.zillow.com/homedetails/877-Penn-Ave-NE-Atlanta-GA-30309/35880608_zpid/,"$775,000",House for sale,3 bds,3 ba,"2,944 sqft",,Single Family,1920,Forced air,Other,Off street,"6,011 sqft",$263,Great solar potentialSun Number™: 85.83,"$3,989",$0/mo,"$3,026/mo",$691/mo,$271/mo,$0/mo,Not included
"3340 Chatham Rd NW, Atlanta, GA 30305",https://www.zillow.com/homedetails/3340-Chatham-Rd-NW-Atlanta-GA-30305/35902349_zpid/,"$1,295,000",House for sale,4 bds,5 ba,"5,373 sqft","$1,339,243",Single Family,1953,Forced air,Central,4 spaces,1.32 acres,$241,Candidate for a community solar programSun Number™: 20.21,"$6,665",$0/mo,"$5,057/mo","$1,155/mo",$453/mo,$0/mo,Not included
"2408 Howell Mill Rd NW, Atlanta, GA 30318",https://www.zillow.com/homedetails/2408-Howell-Mill-Rd-NW-Atlanta-GA-30318/35914965_zpid/,"$875,000",House for sale,4 bds,4 ba,"3,500 sqft","$841,346",Single Family,1951,"Forced air, Other","Central, Other",4 spaces,0.65 acres,$250,Candidate for a community solar programSun Number™: 33.01,"$4,503",$0/mo,"$3,417/mo",$780/mo,$306/mo,$0/mo,Not included
"410 Parkway Dr NE, Atlanta, GA 30312",https://www.zillow.com/homedetails/410-Parkway-Dr-NE-Atlanta-GA-30312/35879396_zpid/,"$549,900",House for sale,3 bds,2 ba,"1,736 sqft","$538,626",Single Family,1920,Forced air,Central,2 spaces,"5,179 sqft",$317,Great solar potentialSun Number™: 92.23,"$2,702",$0/mo,"$2,019/mo",$490/mo,$192/mo,$0/mo,Not included
"222 Preston Ln SW # 15, Atlanta, GA",https://www.zillow.com/homedetails/222-Preston-Ln-SW-15-Atlanta-GA-30315/2082083984_zpid/,"$350,000",New construction,3 bds,3 ba,"2,023 sqft",,Single Family,2019,Forced air,No Data,Attached Garage,"10,454 sqft",$173,No Data,"$1,795",$0/mo,"$1,285/mo",$312/mo,$123/mo,$75/mo,Not included
"801 Cherokee Ave SE, Atlanta, GA 30315",https://www.zillow.com/homedetails/801-Cherokee-Ave-SE-Atlanta-GA-30315/171417281_zpid/,"$799,900",House for sale,4 bds,4 ba,"2,858 sqft",,Single Family,2015,Forced air,Central,4 spaces,"3,571 sqft",$280,Good solar potentialSun Number™: 65.03,"$4,200",$0/mo,"$3,124/mo",$713/mo,$280/mo,$83/mo,Not included
