Address,Title_link,Sale price,list-card-type,Area,Bedrooms,Bathrooms,Zestimate,Type,Year built,Heating,Cooling,Parking,HOA / Lot,Price / sqft,Green energy,Monthly cost,Principal & interest,Mortage insurance,Property taxes,Home insurance,HOA Fees,Utilities
"282 Dudley St # 14, Boston, MA 02119",https://www.zillow.com/homedetails/282-Dudley-St-14-Boston-MA-02119/59183881_zpid/,"Est. $211,572",Pre-foreclosure,"1,043 sqft",2 bds,1 ba,"$285,909",Condo,1988,Other,No Data,1 space,No Data,,Great solar potentialSun Number™: 93.62,"$1,005",$783/mo,$0/mo,$148/mo,$74/mo,$0/mo,Not included
"1520 Columbia Road 1, South Boston, MA 02127",https://www.zillow.com/homedetails/1520-Columbia-Road-1-South-Boston-MA-02127/60112367_zpid/,"$1,250,000",Townhouse for sale,"1,867 sqft",3 bds,4 ba,"$1,214,912",Townhouse,2001,Forced air,Central,On street,"1,867 sqft",$670,,"$6,363","$4,875/mo",$0/mo,$875/mo,$438/mo,$175/mo,Not included
"187 London St APT 3, Boston, MA 02128",https://www.zillow.com/homedetails/187-London-St-APT-3-Boston-MA-02128/2082159396_zpid/,"$599,500",Condo for sale,815 sqft,2 bds,2 ba,"$583,119",Condo,1899,Forced air,Central,No Data,$250/month,$736,,"$3,095","$2,215/mo",$0/mo,$420/mo,$210/mo,$250/mo,Not included
"170 W Broadway UNIT 308, Boston, MA 02127",https://www.zillow.com/homedetails/170-W-Broadway-UNIT-308-Boston-MA-02127/2082696128_zpid/,"$889,900",Condo for sale,"1,045 sqft",2 bds,2 ba,"$877,404",Condo,2018,Forced air,Central,1 space,$320/month,$852,,"$4,725","$3,471/mo",$0/mo,$623/mo,$311/mo,$320/mo,Not included
"549 E 4th St # 2, Boston, MA 02127",https://www.zillow.com/homedetails/549-E-4th-St-2-Boston-MA-02127/2082141827_zpid/,"$390,000",Condo for sale,410 sqft,Studio,1 ba,"$381,981",Condo,1900,Electric,Central,No Data,$181/month,$951,,"$2,034","$1,443/mo",$0/mo,$273/mo,$137/mo,$181/mo,Not included
"142 Beacon St, Boston, MA",https://www.zillow.com/homedetails/142-Beacon-St-Boston-MA-02116/2103968958_zpid/,"$11,500,000",New construction,"3,908 sqft",4 bds,6 ba,"$10,646,168",Condo,1860,Forced air,Central,On street,"$1,917/month","$2,943",Great solar potentialSun Number™: 92.78,"$58,842","$44,850/mo",$0/mo,"$8,050/mo","$4,025/mo","$1,917/mo",Not included
"160 Cottage St # 001, Boston, MA 02128",https://www.zillow.com/homedetails/160-Cottage-St-001-Boston-MA-02128/2082477378_zpid/,"$385,000",Condo for sale,624 sqft,2 bds,1 ba,"$375,095",Condo,1905,Baseboard,No Data,No Data,$207/month,$617,Great solar potentialSun Number™: 93.8,"$2,036","$1,425/mo",$0/mo,$270/mo,$135/mo,$207/mo,Not included
"34 Yarmouth St, Boston, MA 02116",https://www.zillow.com/homedetails/34-Yarmouth-St-Boston-MA-02116/2101298982_zpid/,"$3,995,000",House for sale,"4,244 sqft",6 bds,5 ba,"$3,820,505",Single Family,1899,"Baseboard, Forced air",Central,On street,"2,178 sqft",$941,Great solar potentialSun Number™: 87.18,"$19,775","$15,581/mo",$0/mo,"$2,797/mo","$1,398/mo",$0/mo,Not included
"10 Rutland Sq, Boston, MA 02118",https://www.zillow.com/homedetails/10-Rutland-Sq-Boston-MA-02118/59183298_zpid/,"$5,595,000",House for sale,"4,200 sqft",4 bds,6 ba,"$5,335,424",Single Family,1860,Forced air,Central,2 spaces,"1,742 sqft","$1,332",Great solar potentialSun Number™: 88.78,"$27,695","$21,821/mo",$0/mo,"$3,917/mo","$1,958/mo",$0/mo,Not included
"416 Belgrade Ave APT 6, Boston, MA 02132",https://www.zillow.com/homedetails/416-Belgrade-Ave-APT-6-Boston-MA-02132/59155413_zpid/,"$299,999",Condo for sale,720 sqft,2 bds,1 ba,"$300,203",Condo,1966,Baseboard,None,1 space,$350/month,$417,Great solar potentialSun Number™: 93.34,"$1,775","$1,110/mo",$0/mo,$210/mo,$105/mo,$350/mo,Not included
"436 E 5th St # 3, South Boston, MA 02127",https://www.zillow.com/homedetails/436-E-5th-St-3-South-Boston-MA-02127/117686331_zpid/,"$829,000",Condo for sale,"1,140 sqft",2 bds,2 ba,"$816,660",Condo,1890,Forced air,Central,On street,$199/month,$727,Great solar potentialSun Number™: 94.86,"$4,133","$3,063/mo",$0/mo,$580/mo,$290/mo,$199/mo,Not included
"33 Sleeper St APT 409, Boston, MA 02210",https://www.zillow.com/homedetails/33-Sleeper-St-APT-409-Boston-MA-02210/59172196_zpid/,"$850,000",Condo for sale,"1,140 sqft",1 bd,1 ba,"$825,115",Condo,1911,Heat pump,Central,On street,$655/month,$746,Great solar potentialSun Number™: 94.38,"$4,689","$3,141/mo",$0/mo,$595/mo,$298/mo,$655/mo,Not included
"776 E 6th St, South Boston, MA",https://www.zillow.com/homedetails/776-E-6th-St-South-Boston-MA-02127/59150227_zpid/,"$899,900",New construction,"2,412 sqft",4 bds,5 ba,"$875,067",Multi Family,1890,Forced air,No Data,No Data,$373,,Great solar potentialSun Number™: 94.86,"$4,455","$3,510/mo",$0/mo,$630/mo,$315/mo,$0/mo,Not included
"356 Seaver St # 3, Boston, MA 02121",https://www.zillow.com/homedetails/356-Seaver-St-3-Boston-MA-02121/87797180_zpid/,"$255,000",Condo for sale,"1,035 sqft",2 bds,1 ba,"$253,743",Condo,1905,Other,None,1 space,$160/month,$246,Great solar potentialSun Number™: 94.38,"$1,371",$944/mo,$0/mo,$179/mo,$89/mo,$160/mo,Not included
"240 Fairmount Ave, Boston, MA 02136",https://www.zillow.com/homedetails/240-Fairmount-Ave-Boston-MA-02136/59129628_zpid/,"$499,000",For sale by owner,"1,756 sqft",3 bds,2 ba,"$520,628",Single Family,1935,Other,No Data,1 space,"7,276 sqft",$284,Candidate for a community solar programSun Number™: 23.02,"$2,459","$1,935/mo",$0/mo,$349/mo,$175/mo,$0/mo,Not included
"352 Marlborough St, Boston, MA",https://www.zillow.com/homedetails/352-Marlborough-St-Boston-MA-02115/59169848_zpid/,"$8,950,000",New construction,"4,845 sqft",4 bds,7 ba,"$8,446,216",Single Family,2019,Forced air,Central,On street,"2,613 sqft","$1,847",Great solar potentialSun Number™: 86.38,"$44,303","$34,905/mo",$0/mo,"$6,265/mo","$3,133/mo",$0/mo,Not included
"1 Davis Ct, East Boston, MA 02128",https://www.zillow.com/homedetails/1-Davis-Ct-East-Boston-MA-02128/59123086_zpid/,"$525,000",Apartment for sale,"1,200 sqft",4 bds,3 ba,"$509,334",Multi Family,1960,Other,No Data,No Data,$438,,Great solar potentialSun Number™: 83.4,"$2,494","$1,943/mo",$0/mo,$368/mo,$184/mo,$0/mo,Not included
"10 Coffey St APT 2, Boston, MA 02122",https://www.zillow.com/homedetails/10-Coffey-St-APT-2-Boston-MA-02122/59102740_zpid/,"$319,800",Condo for sale,777 sqft,2 bds,1 ba,"$314,750",Condo,1965,Baseboard,No Data,1 space,$304/month,$412,Great solar potentialSun Number™: 94.38,"$1,825","$1,185/mo",$0/mo,$224/mo,$112/mo,$304/mo,Not included
"20 Gloucester St APT 2, Boston, MA 02115",https://www.zillow.com/homedetails/20-Gloucester-St-APT-2-Boston-MA-02115/59169870_zpid/,"$2,575,000",Condo for sale,"2,074 sqft",3 bds,2 ba,"$2,648,859",Condo,1886,"Baseboard, Forced air",Central,1 space,"$1,285/month","$1,242",Great solar potentialSun Number™: 92.78,"$14,037","$10,049/mo",$0/mo,"$1,803/mo",$901/mo,"$1,285/mo",Not included
"53 Forest St, Boston, MA 02119",https://www.zillow.com/homedetails/53-Forest-St-Boston-MA-02119/59187507_zpid/,"$789,000",Apartment for sale,"2,942 sqft",7 bds,3 ba,"$775,798",Multi Family,1844,Other,No Data,1 space,$268,,Great solar potentialSun Number™: 76.82,"$3,741","$2,912/mo",$0/mo,$552/mo,$276/mo,$0/mo,Not included
"42 8th St APT 3106, Boston, MA 02129",https://www.zillow.com/homedetails/42-8th-St-APT-3106-Boston-MA-02129/67096515_zpid/,"$399,000",Condo for sale,455 sqft,Studio,1 ba,"$391,549",Condo,1899,Heat pump,Central,1 space,No Data,$877,Great solar potentialSun Number™: 90.8,"$1,898","$1,479/mo",$0/mo,$279/mo,$140/mo,$0/mo,Not included
"288 C St # 9, South Boston, MA 02127",https://www.zillow.com/homedetails/288-C-St-9-South-Boston-MA-02127/120937513_zpid/,"$989,000",Condo for sale,"1,061 sqft",2 bds,2 ba,"$962,597",Condo,2012,Forced air,Central,2 spaces,$386/month,$932,Great solar potentialSun Number™: 94.86,"$5,284","$3,859/mo",$0/mo,$692/mo,$346/mo,$386/mo,Not included
"543 Beech St, Boston, MA 02131",https://www.zillow.com/homedetails/543-Beech-St-Boston-MA-02131/59146484_zpid/,"$698,900",House for sale,"2,483 sqft",5 bds,3 ba,"$686,173",Single Family,1875,Baseboard,No Data,2 spaces,"7,405 sqft",$281,Great solar potentialSun Number™: 86.58,"$3,313","$2,580/mo",$0/mo,$489/mo,$245/mo,$0/mo,Not included
"91 Burrell St APT 2, Boston, MA 02119",https://www.zillow.com/homedetails/91-Burrell-St-APT-2-Boston-MA-02119/2083066493_zpid/,"$314,900",Condo for sale,710 sqft,2 bds,1 ba,"$315,561",Condo,1900,Baseboard,None,No Data,$200/month,$444,,"$1,698","$1,167/mo",$0/mo,$220/mo,$110/mo,$200/mo,Not included
"892 Metropolitan Ave, Boston, MA",https://www.zillow.com/homedetails/892-Metropolitan-Ave-Boston-MA-02136/59126585_zpid/,"$988,000",New construction,"2,939 sqft",4 bds,3 ba,"$988,002",Single Family,2019,Forced air,Central,3 spaces,0.33 acres,$336,Good solar potentialSun Number™: 63.82,"$4,893","$3,856/mo",$0/mo,$692/mo,$346/mo,$0/mo,Not included
"1673 Commonwealth Ave APT 3, Boston, MA 02135",https://www.zillow.com/homedetails/1673-Commonwealth-Ave-APT-3-Boston-MA-02135/59089400_zpid/,"Est. $298,292",Pre-foreclosure / Auction,520 sqft,1 bd,1 ba,"$2,730/mo",Contact manager,Multi Family,Other,Baseboard,Cats,1 space,Contact manager,Great solar potentialSun Number™: 93.85,,,,,,,
"21 Beacon St APT 9I, Boston, MA 02108",https://www.zillow.com/homedetails/21-Beacon-St-APT-9I-Boston-MA-02108/59180834_zpid/,"$1,025,000",Condo for sale,897 sqft,2 bds,2 ba,"$997,143",Condo,1899,Other,Other,On street,$81/month,"$1,143",Great solar potentialSun Number™: 94.38,"$5,157","$4,000/mo",$0/mo,$718/mo,$359/mo,$81/mo,Not included
"365 Faneuil St APT 8, Boston, MA 02135",https://www.zillow.com/homedetails/365-Faneuil-St-APT-8-Boston-MA-02135/59090384_zpid/,"$349,000",For sale by owner,755 sqft,2 bds,1 ba,"$347,936",Condo,1973,Other,No Data,No Data,$283/month,$462,Great solar potentialSun Number™: 89.85,"$1,943","$1,294/mo",$0/mo,$244/mo,$122/mo,$283/mo,Not included
"184 Marlborough St APT 7, Boston, MA 02116",https://www.zillow.com/homedetails/184-Marlborough-St-APT-7-Boston-MA-02116/59166914_zpid/,"$3,199,000",Condo for sale,"1,912 sqft",3 bds,3 ba,"$3,014,766",Condo,1900,"Forced air, Heat pump",Central,1 space,$970/month,"$1,673",Great solar potentialSun Number™: 93.58,"$16,813","$12,484/mo",$0/mo,"$2,239/mo","$1,120/mo",$970/mo,Not included
"283 Webster St APT 2, Boston, MA 02128",https://www.zillow.com/homedetails/283-Webster-St-APT-2-Boston-MA-02128/2082069508_zpid/,"$750,000",Coming soon,907 sqft,2 bds,2 ba,,Condo,1910,Forced air,Central,No Data,$194/month,$827,,"$3,750","$2,768/mo",$0/mo,$525/mo,$263/mo,$194/mo,Not included
"870 Huntington Ave # 2, Boston, MA 02115",https://www.zillow.com/homedetails/870-Huntington-Ave-2-Boston-MA-02115/59168361_zpid/,"$739,900",Condo for sale,"1,295 sqft",4 bds,1 ba,"$739,901",Condo,1910,Forced air,Central,1 space,No Data,$571,Great solar potentialSun Number™: 93.58,"$3,508","$2,731/mo",$0/mo,$518/mo,$259/mo,$0/mo,Not included
"35 Chestnut St APT 106, Boston, MA 02129",https://www.zillow.com/homedetails/35-Chestnut-St-APT-106-Boston-MA-02129/2083892630_zpid/,"$899,000",Condo for sale,"1,057 sqft",2 bds,2 ba,"$895,311",Condo,1989,Forced air,Central,No Data,$530/month,$851,,"$4,982","$3,508/mo",$0/mo,$629/mo,$315/mo,$530/mo,Not included
"200 Northampton St APT 4, Boston, MA 02118",https://www.zillow.com/homedetails/200-Northampton-St-APT-4-Boston-MA-02118/71505172_zpid/,"$474,900",Condo for sale,505 sqft,1 bd,1 ba,"$472,421",Condo,1910,Baseboard,None,1 space,$167/month,$940,Great solar potentialSun Number™: 90.38,"$2,426","$1,760/mo",$0/mo,$332/mo,$166/mo,$167/mo,Not included
"49 Beacon St UNIT 1, Boston, MA 02108",https://www.zillow.com/homedetails/49-Beacon-St-UNIT-1-Boston-MA-02108/59174746_zpid/,"$849,000",Condo for sale,782 sqft,1 bd,1 ba,"$845,323",Condo,1850,Baseboard,No Data,No Data,$460/month,"$1,086",Great solar potentialSun Number™: 94.38,"$4,485","$3,134/mo",$0/mo,$594/mo,$297/mo,$460/mo,Not included
"27 Greenwich Park # 1, Boston, MA 02118",https://www.zillow.com/homedetails/27-Greenwich-Park-1-Boston-MA-02118/59182880_zpid/,"$1,099,000",Condo for sale,"1,365 sqft",2 bds,2 ba,"$1,084,195",Condo,1890,Forced air,Central,1 space,$220/month,$805,Great solar potentialSun Number™: 80.78,"$5,663","$4,289/mo",$0/mo,$769/mo,$385/mo,$220/mo,Not included
"748 Cummins Hwy, Boston, MA 02126",https://www.zillow.com/homedetails/748-Cummins-Hwy-Boston-MA-02126/59138911_zpid/,"$389,999",House for sale,888 sqft,2 bds,1 ba,"$406,695",Single Family,1940,Other,Central,1 space,"3,920 sqft",$439,Candidate for a community solar programSun Number™: 23.02,"$1,855","$1,446/mo",$0/mo,$273/mo,$136/mo,$0/mo,Not included
"35 Queensberry St APT 17, Boston, MA 02215",https://www.zillow.com/homedetails/35-Queensberry-St-APT-17-Boston-MA-02215/59168110_zpid/,"$529,000",Condo for sale,555 sqft,1 bd,1 ba,"$519,112",Condo,1899,Other,No Data,On street,$400/month,$953,Great solar potentialSun Number™: 86.38,"$2,916","$1,961/mo",$0/mo,$370/mo,$185/mo,$400/mo,Not included
"1201 Saratoga St, East Boston, MA 02128",https://www.zillow.com/homedetails/1201-Saratoga-St-East-Boston-MA-02128/59120078_zpid/,"$639,900",House for sale,"2,169 sqft",3 bds,3 ba,"$619,340",Single Family,1920,Forced air,No Data,1 space,"3,049 sqft",$295,Great solar potentialSun Number™: 93.76,"$3,034","$2,362/mo",$0/mo,$448/mo,$224/mo,$0/mo,Not included
"21 Everett Ave # 1, Boston, MA 02125",https://www.zillow.com/homedetails/21-Everett-Ave-1-Boston-MA-02125/2082368108_zpid/,"$1,150,000",Condo for sale,"2,561 sqft",3 bds,3 ba,"$1,122,641",Condo,2019,Forced air,Central,No Data,$350/month,$449,,"$6,045","$4,488/mo",$0/mo,$805/mo,$403/mo,$350/mo,Not included
"34 Hancock St APT 4A, Boston, MA 02114",https://www.zillow.com/homedetails/34-Hancock-St-APT-4A-Boston-MA-02114/59180588_zpid/,"$1,250,000",Condo for sale,"1,100 sqft",2 bds,2 ba,"$1,249,725",Condo,1970,Baseboard,Wall,No Data,$395/month,"$1,136",Great solar potentialSun Number™: 93.81,"$6,585","$4,878/mo",$0/mo,$875/mo,$438/mo,$395/mo,Not included
"545 E 3rd St # 17, Boston, MA 02127",https://www.zillow.com/homedetails/545-E-3rd-St-17-Boston-MA-02127/2082832085_zpid/,"$1,199,900",Condo for sale,"1,330 sqft",2 bds,2 ba,"$1,165,579",Condo,2019,Forced air,Central,No Data,$513/month,$902,,"$6,455","$4,682/mo",$0/mo,$840/mo,$420/mo,$513/mo,Not included
"5 Cedar St # 3, Boston, MA 02129",https://www.zillow.com/homedetails/5-Cedar-St-3-Boston-MA-02129/59101051_zpid/,"$649,000",Condo for sale,755 sqft,1 bd,1 ba,"$631,529",Condo,1890,Baseboard,Wall,No Data,$144/month,$860,Great solar potentialSun Number™: 92.4,"$3,221","$2,395/mo",$0/mo,$454/mo,$227/mo,$144/mo,Not included
"331 E St UNIT 2, South Boston, MA 02127",https://www.zillow.com/homedetails/331-E-St-UNIT-2-South-Boston-MA-02127/81855936_zpid/,"$585,000",Condo for sale,751 sqft,3 bds,1 ba,"$567,228",Condo,1905,Forced air,None,None,$150/month,$779,Great solar potentialSun Number™: 86.86,"$2,923","$2,159/mo",$0/mo,$410/mo,$205/mo,$150/mo,Not included
"183 W 8th St # 1, South Boston, MA 02127",https://www.zillow.com/homedetails/183-W-8th-St-1-South-Boston-MA-02127/87798106_zpid/,"$469,000",Condo for sale,508 sqft,1 bd,1 ba,"$460,233",Condo,1900,Baseboard,No Data,No Data,$150/month,$923,Great solar potentialSun Number™: 90.06,"$2,381","$1,738/mo",$0/mo,$328/mo,$164/mo,$150/mo,Not included
"66 Saint James St APT 102, Boston, MA 02119",https://www.zillow.com/homedetails/66-Saint-James-St-APT-102-Boston-MA-02119/59185043_zpid/,"Est. $163,607",Pre-foreclosure / Auction,920 sqft,2 bds,1.5 ba,"$221,091",Condo,1988,Forced air,No Data,1 space,$286/month,,Great solar potentialSun Number™: 84.82,"$1,093",$635/mo,$0/mo,$115/mo,$57/mo,$286/mo,Not included
"113 Elm St # 113, Boston, MA 02129",https://www.zillow.com/homedetails/113-Elm-St-113-Boston-MA-02129/2082644996_zpid/,"$949,900",Townhouse for sale,"2,195 sqft",4 bds,2 ba,"$935,760",Townhouse,1885,Radiant,No Data,1 space,No Data,$433,,"$4,704","$3,707/mo",$0/mo,$665/mo,$332/mo,$0/mo,Not included
"1095 Morton St, Boston, MA 02126",https://www.zillow.com/homedetails/1095-Morton-St-Boston-MA-02126/59138398_zpid/,"$650,000",House for sale,"2,128 sqft",4 bds,2 ba,"$640,805",Single Family,1935,Baseboard,None,Detached Garage,"6,534 sqft",$305,Good solar potentialSun Number™: 60.62,"$3,082","$2,399/mo",$0/mo,$455/mo,$228/mo,$0/mo,Not included
"112 Fulton St UNIT 1A, Boston, MA 02109",https://www.zillow.com/homedetails/112-Fulton-St-UNIT-1A-Boston-MA-02109/59181416_zpid/,"$1,569,000",Condo for sale,"2,404 sqft",3 bds,3 ba,"$1,524,957",Condo,1900,Forced air,Central,1 space,"$1,089/month",$653,Great solar potentialSun Number™: 93.58,"$8,859","$6,123/mo",$0/mo,"$1,098/mo",$549/mo,"$1,089/mo",Not included
"464 Commonwealth Ave APT 43, Boston, MA 02215",https://www.zillow.com/homedetails/464-Commonwealth-Ave-APT-43-Boston-MA-02215/59178139_zpid/,"$925,900",Condo for sale,937 sqft,2 bds,2 ba,"$893,607",Condo,1910,Forced air,Central,No Data,$694/month,$988,Great solar potentialSun Number™: 94.38,"$5,279","$3,613/mo",$0/mo,$648/mo,$324/mo,$694/mo,Not included
"15 Trenton St # 1, East Boston, MA 02128",https://www.zillow.com/homedetails/15-Trenton-St-1-East-Boston-MA-02128/59123787_zpid/,"$379,900",Condo for sale,"1,564 sqft",1 bd,1 ba,"$369,623",Condo,1900,Forced air,Central,No Data,$171/month,$243,Great solar potentialSun Number™: 88.2,"$1,978","$1,408/mo",$0/mo,$266/mo,$133/mo,$171/mo,Not included
"23-25 Brayton Rd # 1, Boston, MA 01235",https://www.zillow.com/homedetails/23-25-Brayton-Rd-1-Boston-MA-01235/2082092951_zpid/,"$999,998",Coming soon,-- sqft,5 bds,2 ba,"$989,500",Multi Family,1920,Baseboard,No Data,2 spaces,No Data,,,"$4,952","$3,902/mo",$0/mo,$700/mo,$350/mo,$0/mo,Not included
"30 Jenkins St, South Boston, MA 02127",https://www.zillow.com/homedetails/30-Jenkins-St-South-Boston-MA-02127/59151776_zpid/,"$825,000",House for sale,"1,642 sqft",3 bds,2 ba,"$819,256",Single Family,1905,Baseboard,No Data,On street,"1,742 sqft",$502,Great solar potentialSun Number™: 86.06,"$3,911","$3,045/mo",$0/mo,$578/mo,$289/mo,$0/mo,Not included
"150 Staniford St APT 909, Boston, MA 02114",https://www.zillow.com/homedetails/150-Staniford-St-APT-909-Boston-MA-02114/2084000247_zpid/,"$729,000",Condo for sale,"1,028 sqft",2 bds,2 ba,"$719,502",Condo,1998,Forced air,Central,No Data,"$1,755/month",$709,,"$5,211","$2,691/mo",$0/mo,$510/mo,$255/mo,"$1,755/mo",Not included
"86 Worcester St APT 1, Boston, MA 02118",https://www.zillow.com/homedetails/86-Worcester-St-APT-1-Boston-MA-02118/59185439_zpid/,"$1,050,000",Condo for sale,974 sqft,1 bd,1 ba,"$1,022,462",Condo,1867,Heat pump,"Other, Wall",On street,$158/month,"$1,078",Great solar potentialSun Number™: 90.38,"$5,358","$4,097/mo",$0/mo,$735/mo,$368/mo,$158/mo,Not included
"87 Gainsborough St APT 201, Boston, MA 02115",https://www.zillow.com/homedetails/87-Gainsborough-St-APT-201-Boston-MA-02115/59177530_zpid/,"$599,000",Condo for sale,612 sqft,1 bd,1 ba,"$587,302",Condo,1910,Heat pump,Central,1 space,$387/month,$979,Great solar potentialSun Number™: 87.18,"$3,227","$2,211/mo",$0/mo,$419/mo,$210/mo,$387/mo,Not included
"14 York St, Boston, MA 02121",https://www.zillow.com/homedetails/14-York-St-Boston-MA-02121/59111059_zpid/,"$560,000",Apartment for sale,"4,265 sqft",6 bds,2 ba,"$547,285",Multi Family,1890,Other,No Data,1 space,$131,,Great solar potentialSun Number™: 91.18,"$2,664","$2,076/mo",$0/mo,$392/mo,$196/mo,$0/mo,Not included
"877 Harrison Ave APT 7, Boston, MA 02118",https://www.zillow.com/homedetails/877-Harrison-Ave-APT-7-Boston-MA-02118/63711875_zpid/,"$698,000",Condo for sale,"1,330 sqft",2 bds,1 ba,"$688,126",Condo,2002,Forced air,Central,On street,$340/month,$525,Great solar potentialSun Number™: 94.38,"$3,649","$2,576/mo",$0/mo,$489/mo,$244/mo,$340/mo,Not included
"9 Batchelder St, Boston, MA 02125",https://www.zillow.com/homedetails/9-Batchelder-St-Boston-MA-02125/59106342_zpid/,"$520,000",Apartment for sale,"1,864 sqft",5 bds,2 ba,"$506,773",Multi Family,1890,Forced air,None,No Data,$279,,Candidate for a community solar programSun Number™: 22.38,"$2,474","$1,928/mo",$0/mo,$364/mo,$182/mo,$0/mo,Not included
"319 Dartmouth St, Boston, MA 02116",https://www.zillow.com/homedetails/319-Dartmouth-St-Boston-MA-02116/2115872862_zpid/,"$4,499,000",Apartment for sale,"3,696 sqft",5 bds,5 ba,"$4,272,776",Multi Family,1900,Forced air,Other,No Data,"$1,217",,Great solar potentialSun Number™: 89.58,"$22,281","$17,557/mo",$0/mo,"$3,149/mo","$1,575/mo",$0/mo,Not included
"106 13th St APT 229, Charlestown, MA 02129",https://www.zillow.com/homedetails/106-13th-St-APT-229-Charlestown-MA-02129/59098728_zpid/,"$479,000",Condo for sale,766 sqft,2 bds,1 ba,"$467,025",Condo,1920,Baseboard,Central,1 space,$773/month,$625,Great solar potentialSun Number™: 93.2,"$3,051","$1,776/mo",$0/mo,$335/mo,$168/mo,$773/mo,Not included
"3 Avery St UNIT 702, Boston, MA 02111",https://www.zillow.com/homedetails/3-Avery-St-UNIT-702-Boston-MA-02111/71546602_zpid/,"$599,000",Condo for sale,801 sqft,1 bd,1 ba,,Condo,2004,Forced air,Central,No Data,"$1,475/month",$748,Great solar potentialSun Number™: 94.38,"$4,315","$2,211/mo",$0/mo,$419/mo,$210/mo,"$1,475/mo",Not included
"319 A St UNIT 208, Boston, MA 02210",https://www.zillow.com/homedetails/319-A-St-UNIT-208-Boston-MA-02210/247150133_zpid/,"$1,249,000",Condo for sale,"1,043 sqft",2 bds,2 ba,"$1,206,063",Condo,1913,Forced air,Central,No Data,"$1,201/month","$1,198",Great solar potentialSun Number™: 95.18,"$7,386","$4,874/mo",$0/mo,$874/mo,$437/mo,"$1,201/mo",Not included
"54 Bateman St # 2, Boston, MA 02131",https://www.zillow.com/homedetails/54-Bateman-St-2-Boston-MA-02131/63531057_zpid/,"$399,000",Condo for sale,861 sqft,3 bds,1 ba,"$409,080",Condo,1950,Forced air,None,1 space,$170/month,$463,Great solar potentialSun Number™: 90.58,"$2,068","$1,479/mo",$0/mo,$279/mo,$140/mo,$170/mo,Not included
"6 Franklin St # 2, Boston, MA 02129",https://www.zillow.com/homedetails/6-Franklin-St-2-Boston-MA-02129/2082595332_zpid/,"$1,250,000",Condo for sale,"2,053 sqft",3 bds,4 ba,"$1,239,238",Condo,2004,Forced air,Central,No Data,$180/month,$609,,"$6,370","$4,878/mo",$0/mo,$875/mo,$438/mo,$180/mo,Not included
"120 Fulton St APT 2B, Boston, MA 02109",https://www.zillow.com/homedetails/120-Fulton-St-APT-2B-Boston-MA-02109/59181387_zpid/,"$959,000",Condo for sale,"1,030 sqft",2 bds,2 ba,"$935,495",Condo,1853,Heat pump,Central,No Data,$49/month,$931,Great solar potentialSun Number™: 93.58,"$4,798","$3,742/mo",$0/mo,$671/mo,$336/mo,$49/mo,Not included
"9 Hawthorne Pl # 9-12R, Boston, MA 02114",https://www.zillow.com/homedetails/9-Hawthorne-Pl-9-12R-Boston-MA-02114/2082759016_zpid/,"$482,135",Auction,847 sqft,1 bd,1 ba,,Condo,1967,No Data,No Data,No Data,No Data,,Great solar potentialSun Number™: 93.81,"$2,293","$1,787/mo",$0/mo,$337/mo,$169/mo,$0/mo,Not included
"883 Harrison Ave APT 2, Boston, MA 02118",https://www.zillow.com/homedetails/883-Harrison-Ave-APT-2-Boston-MA-02118/60112884_zpid/,"$599,000",Condo for sale,800 sqft,3 bds,1 ba,"$584,609",Condo,1910,Forced air,Wall,On street,$229/month,$749,Great solar potentialSun Number™: 92.78,"$3,069","$2,211/mo",$0/mo,$419/mo,$210/mo,$229/mo,Not included
"520 Talbot Ave APT 8, Boston, MA 02124",https://www.zillow.com/homedetails/520-Talbot-Ave-APT-8-Boston-MA-02124/87797031_zpid/,"$285,000",Condo for sale,750 sqft,2 bds,1 ba,,Condo,1966,"Baseboard, Forced air",Wall,1 space,$313/month,$380,Great solar potentialSun Number™: 89,"$1,669","$1,056/mo",$0/mo,$200/mo,$100/mo,$313/mo,Not included
"160 Mount Vernon St, Boston, MA 02108",https://www.zillow.com/homedetails/160-Mount-Vernon-St-Boston-MA-02108/59172820_zpid/,"$6,250,000",House for sale,"3,850 sqft",5 bds,6 ba,"$5,887,287",Single Family,1871,Other,No Data,1 space,"1,306 sqft","$1,623",,"$30,952","$24,390/mo",$0/mo,"$4,375/mo","$2,188/mo",$0/mo,Not included
"142 Chestnut St APT 7, Boston, MA 02108",https://www.zillow.com/homedetails/142-Chestnut-St-APT-7-Boston-MA-02108/2090447115_zpid/,"$3,995,000",Condo for sale,"3,463 sqft",3 bds,4 ba,"$3,804,242",Condo,1930,Heat pump,Central,No Data,"$1,888/month","$1,154",,"$21,673","$15,590/mo",$0/mo,"$2,797/mo","$1,398/mo","$1,888/mo",Not included
"39 Brookview St, Boston, MA 02124",https://www.zillow.com/homedetails/39-Brookview-St-Boston-MA-02124/59115533_zpid/,"Est. $278,498",Pre-foreclosure / Auction,"1,740 sqft",5 bds,1.5 ba,"$376,349",Single Family,1917,Other,No Data,1 space,"3,920 sqft",,Great solar potentialSun Number™: 73.8,"$1,325","$1,032/mo",$0/mo,$195/mo,$97/mo,$0/mo,Not included
