Address,Title_link,Sale price,list-card-type,Area,Bedrooms,Bathrooms,Zestimate,Type,Year built,Heating,Cooling,Parking,HOA / Lot,Price / sqft,Green energy,Monthly cost,Principal & interest,Mortage insurance,Property taxes,Home insurance,HOA Fees,Utilities
"868 E 2nd St # 2, South Boston, MA 02127",https://www.zillow.com/homedetails/868-E-2nd-St-2-South-Boston-MA-02127/59148263_zpid/,$--,Pre-foreclosure,885 sqft,3 bds,1.5 ba,,Apartment,1890,Other,No Data,No Data,No Data,,Great solar potentialSun Number™: 89.26,$0,$0/mo,$0/mo,$0/mo,$0/mo,$0/mo,Not included
"98 Fuller St APT 3, Dorchester Center, MA 02124",https://www.zillow.com/homedetails/98-Fuller-St-APT-3-Dorchester-Center-MA-02124/295324533_zpid/,"$469,000",Condo for sale,"1,233 sqft",3 bds,1 ba,"$469,002",Condo,1905,Forced air,No Data,1 space,$375/month,$380,,"$2,606","$1,739/mo",$0/mo,$328/mo,$164/mo,$375/mo,Not included
"3227 Washington St, Boston, MA 02130",https://www.zillow.com/homedetails/3227-Washington-St-Boston-MA-02130/59133385_zpid/,"$935,000",Apartment for sale,"3,200 sqft",10 bds,4 ba,"$942,938",Multi Family,1910,Other,No Data,No Data,$292,,Great solar potentialSun Number™: 94.38,"$4,629","$3,647/mo",$0/mo,$655/mo,$327/mo,$0/mo,Not included
"461 Beacon St APT 1, Boston, MA 02115",https://www.zillow.com/homedetails/461-Beacon-St-APT-1-Boston-MA-02115/59169255_zpid/,"$849,900",Condo for sale,916 sqft,1 bd,1 ba,"$843,453",Condo,1880,Other,Other,On street,$287/month,$928,Great solar potentialSun Number™: 90.38,"$4,318","$3,138/mo",$0/mo,$595/mo,$297/mo,$287/mo,Not included
"377 Commonwealth Ave APT 42, Boston, MA 02115",https://www.zillow.com/homedetails/377-Commonwealth-Ave-APT-42-Boston-MA-02115/2126732433_zpid/,"$549,900",Condo for sale,453 sqft,Studio,1 ba,"$543,379",Condo,1890,Forced air,Central,On street,$259/month,"$1,214",,"$2,875","$2,039/mo",$0/mo,$385/mo,$192/mo,$259/mo,Not included
"77 Waltham St APT 2, Boston, MA 02118",https://www.zillow.com/homedetails/77-Waltham-St-APT-2-Boston-MA-02118/59182108_zpid/,"$829,000",Condo for sale,780 sqft,1 bd,2 ba,"$814,599",Condo,1851,Heat pump,Central,No Data,$255/month,"$1,063",Great solar potentialSun Number™: 82.38,"$4,187","$3,061/mo",$0/mo,$580/mo,$290/mo,$255/mo,Not included
"95 Bennett St, Boston, MA 02135",https://www.zillow.com/homedetails/95-Bennett-St-Boston-MA-02135/59095357_zpid/,"$1,225,000",Apartment for sale,"2,760 sqft",7 bds,4 ba,"$1,218,552",Multi Family,1930,Other,No Data,4 spaces,$444,,Great solar potentialSun Number™: 88.25,"$6,065","$4,779/mo",$0/mo,$858/mo,$429/mo,$0/mo,Not included
"24-26 Falcon St # 1, Boston, MA 02128",https://www.zillow.com/homedetails/24-26-Falcon-St-1-Boston-MA-02128/2082423168_zpid/,"$575,000",Condo for sale,"1,046 sqft",2 bds,2 ba,"$575,000",Condo,1900,Forced air,Central,No Data,$170/month,$550,,"$2,897","$2,123/mo",$0/mo,$403/mo,$201/mo,$170/mo,Not included
"19 Revere St APT 7, Boston, MA 02114",https://www.zillow.com/homedetails/19-Revere-St-APT-7-Boston-MA-02114/59174078_zpid/,"$699,000",Condo for sale,600 sqft,2 bds,1 ba,"$688,631",Condo,1899,Radiant,No Data,No Data,$480/month,"$1,165",Great solar potentialSun Number™: 89.81,"$3,795","$2,581/mo",$0/mo,$489/mo,$245/mo,$480/mo,Not included
"78 W Concord St # 2, Boston, MA 02118",https://www.zillow.com/homedetails/78-W-Concord-St-2-Boston-MA-02118/59185335_zpid/,"$649,000",Condo for sale,615 sqft,1 bd,1 ba,"$637,677",Condo,1900,Baseboard,None,No Data,$303/month,"$1,055",Great solar potentialSun Number™: 93.58,"$3,381","$2,397/mo",$0/mo,$454/mo,$227/mo,$303/mo,Not included
