Title,Sale price,Bedrooms,Bathrooms,Area,Zestimate,Type,Year built,Heating,Cooling,Parking,HOA / Lot,Sunscore,Monthly cost,Principal & interest,Property taxes,Home insurance,HOA fee
"9 Hunnewell Ave # 1, Brighton, MA 02135","$489,900 ",2 bds,1 ba,876 sqft,"$491,127 ",Condo,1925,Forced air,Central,On street,$221/month,,"$2,548 ","$1,813/mo",$343/mo,$171/mo,$221/mo
"26 Chiswick Rd APT 1, Boston, MA 02135","$343,000 ",1 bd,1 ba,590 sqft,"$355,340 ",Condo,1920,Radiant,No Data,On street,$400/month,Great solar potentialSun Number™: 90.65,"$2,029 ","$1,269/mo",$240/mo,$120/mo,$400/mo
"120 Commercial St APT 1-2, Boston, MA 02109","$899,000 ",2 bds,2 ba,"1,135 sqft","$887,922 ",Condo,1870,Forced air,No Data,No Data,$600/month,Great solar potentialSun Number™: 89.58,"$5,050 ","$3,506/mo",$629/mo,$315/mo,$600/mo
"41 Upton St # 3, Boston, MA 02118","$1,600,000 ",2 bds,2 ba,"1,750 sqft","$1,600,005 ",Condo,1890,Baseboard,Central,1 space,$559/month,Great solar potentialSun Number™: 83.98,"$8,479 ","$6,240/mo","$1,120/mo",$560/mo,$559/mo
"40 Battery St PH 6, Boston, MA 02109","$6,499,900 ",3 bds,6 ba,"3,542 sqft","$6,110,678 ",Condo,1992,Forced air,Central,No Data,"$3,476/month",,"$35,651 ","$25,350/mo","$4,550/mo","$2,275/mo","$3,476/mo"
"160 Commonwealth Ave APT 410, Boston, MA 02116","Est. $392,218",Studio,1 ba,435 sqft,"$530,025 ",Condo,1881,Other,No Data,No Data,$373/month,Great solar potentialSun Number™: 94.38,"$2,236 ","$1,451/mo",$275/mo,$137/mo,$373/mo
"13 Marion St APT D, Boston, MA 02131","$320,000 ",2 bds,2 ba,"1,074 sqft","$330,316 ",Condo,1987,Forced air,Central,1 space,$328/month,Great solar potentialSun Number™: 90.58,"$1,848 ","$1,184/mo",$224/mo,$112/mo,$328/mo
"158-160 Roslindale Ave, Boston, MA 02131","$700,000 ",6 bds,2 ba,"1,894 sqft","$700,002 ",Multi Family,1900,Other,No Data,1 space,$370 ,,"$3,322 ","$2,587/mo",$490/mo,$245/mo,$0/mo
"53 Fulton St APT 4, Boston, MA 02109","$869,000 ",2 bds,1 ba,"1,150 sqft","$848,818 ",Condo,1890,Baseboard,Central,No Data,$176/month,Great solar potentialSun Number™: 94.38,"$4,478 ","$3,389/mo",$608/mo,$304/mo,$176/mo
"47 Sargent St # 1, Boston, MA 02125","$545,500 ",2 bds,2 ba,"1,213 sqft","$537,380 ",Condo,2019,Forced air,Central,1 space,$195/month,,"$2,786 ","$2,019/mo",$382/mo,$191/mo,$195/mo
"417 E 7th St # 1, Boston, MA 02127","$799,000 ",3 bds,2 ba,"1,184 sqft","$790,460 ",Condo,1890,Forced air,Central,No Data,$150/month,,"$3,942 ","$2,953/mo",$559/mo,$280/mo,$150/mo
"473 Beacon St APT 1R, Boston, MA 02115","$499,900 ",1 bd,1 ba,404 sqft,"$493,388 ",Condo,1880,Baseboard,No Data,No Data,$254/month,Great solar potentialSun Number™: 86.38,"$2,629 ","$1,850/mo",$350/mo,$175/mo,$254/mo
"18 Garden St APT B, Boston, MA 02114","$650,000 ",1 bd,1 ba,665 sqft,"$643,932 ",Condo,1890,Baseboard,Central,No Data,$198/month,Great solar potentialSun Number™: 84.21,"$3,283 ","$2,402/mo",$455/mo,$228/mo,$198/mo
"80A W Cedar St APT 1, Boston, MA 02114","$850,000 ",3 bds,3 ba,"1,050 sqft","$844,988 ",Condo,1890,Baseboard,Other,No Data,$467/month,,"$4,501 ","$3,141/mo",$595/mo,$298/mo,$467/mo
"600 Massachusetts Ave # 7, Boston, MA 02118","$699,000 ",2 bds,1 ba,"1,050 sqft","$684,714 ",Condo,1865,Baseboard,No Data,No Data,$136/month,Great solar potentialSun Number™: 93.58,"$3,453 ","$2,583/mo",$489/mo,$245/mo,$136/mo
"43 Commonwealth Ave APT 1, Boston, MA 02116","$1,889,000 ",2 bds,2 ba,"1,988 sqft","$1,784,055 ",Condo,1890,Forced air,Central,No Data,$629/month,Great solar potentialSun Number™: 91.98,"$9,980 ","$7,367/mo","$1,322/mo",$661/mo,$629/mo
"124 Beacon St APT 6F, Boston, MA 02116","$899,000 ",1 bd,2 ba,922 sqft,"$885,618 ",Condo,1899,Heat pump,Central,No Data,$467/month,Great solar potentialSun Number™: 90.38,"$4,917 ","$3,506/mo",$629/mo,$315/mo,$467/mo
"772 E 6th St # 1, Boston, MA 02127","$599,000 ",1 bd,2 ba,883 sqft,"$582,796 ",Condo,1875,Forced air,Central,On street,$150/month,,"$2,992 ","$2,214/mo",$419/mo,$210/mo,$150/mo
"588 Adams St # 590, Dorchester, MA 02122","$379,900 ",2 bds,2 ba,"1,300 sqft","$531,987 ",Condo,1898,No Data,No Data,No Data,No Data,,"$1,805 ","$1,406/mo",$266/mo,$133/mo,$0/mo
"9 Battery St APT 8, Boston, MA 02109","$709,000 ",2 bds,1 ba,854 sqft,"$696,892 ",Condo,1880,Baseboard,Central,On street,$430/month,Great solar potentialSun Number™: 94.38,"$3,794 ","$2,620/mo",$496/mo,$248/mo,$430/mo
"111 Perkins St APT 096, Boston, MA 02130","$489,000 ",2 bds,1 ba,"1,130 sqft","$505,853 ",Cooperative,1963,Other,Other,1 space,$433 ,,"$2,425 ","$1,809/mo",$342/mo,$171/mo,$102/mo
"31 E Springfield St APT 4, Boston, MA 02118","$649,000 ",2 bds,1 ba,665 sqft,"$637,168 ",Condo,1899,Forced air,Central,1 space,$389/month,Great solar potentialSun Number™: 86.38,"$3,469 ","$2,398/mo",$454/mo,$227/mo,$389/mo
"57 Gates St # 3, South Boston, MA 02127","$649,000 ",2 bds,1 ba,"1,013 sqft","$633,303 ",Condo,1880,Baseboard,Central,On street,$205/month,Great solar potentialSun Number™: 94.86,"$3,285 ","$2,398/mo",$454/mo,$227/mo,$205/mo
"119 Marlborough St APT 6, Boston, MA 02116","$699,000 ",1 bd,1 ba,580 sqft,"$688,595 ",Condo,1880,Baseboard,No Data,On street,$437/month,Great solar potentialSun Number™: 89.58,"$3,754 ","$2,583/mo",$489/mo,$245/mo,$437/mo
"38 Woodward St # 3, South Boston, MA 02127","$675,000 ",3 bds,1 ba,864 sqft,"$656,740 ",Condo,1890,Forced air,Central,On street,$123/month,Great solar potentialSun Number™: 94.86,"$3,326 ","$2,494/mo",$473/mo,$236/mo,$123/mo
"1 Norcross Pl # 3, Boston, MA 02127","$899,900 ",4 bds,2 ba,"1,881 sqft","$881,487 ",Multi Family,1888,No Data,No Data,No Data,$478 ,,"$4,455 ","$3,510/mo",$630/mo,$315/mo,$0/mo
"61 Phillips St APT 2, Boston, MA 02114","Est. $394,679",2 bds,1 ba,453 sqft,"$533,351 ",Condo,1899,Other,No Data,No Data,No Data,Great solar potentialSun Number™: 91.41,"$1,875 ","$1,460/mo",$276/mo,$138/mo,$0/mo
"287-295 Hanover St # 5-2, Boston, MA 02113","$1,995,000 ",3 bds,3 ba,"2,139 sqft","$1,941,113 ",Condo,1872,Other,Central,On street,$938/month,Great solar potentialSun Number™: 94.38,"$10,813 ","$7,781/mo","$1,397/mo",$698/mo,$938/mo
"23 Fleet St APT 11, Boston, MA 02113","$476,900 ",1 bd,1 ba,491 sqft,"$473,935 ",Condo,1907,Forced air,Wall,No Data,$231/month,Great solar potentialSun Number™: 94.38,"$2,496 ","$1,765/mo",$334/mo,$167/mo,$231/mo
"36 Carolina Ave # 1, Boston, MA 02130","$589,000 ",2 bds,1 ba,"1,088 sqft","$621,550 ",Condo,1908,Forced air,None,1 space,$400/month,Candidate for a community solar programSun Number™: 22.38,"$3,195 ","$2,177/mo",$412/mo,$206/mo,$400/mo
