Title,Sale price,Bedrooms,Bathrooms,Area,Zestimate,Type,Year built,Heating,Cooling,Parking,HOA / Lot,Sunscore,Monthly cost,Principal & interest,Property taxes,Home insurance,HOA fee
"406 E Side Ave SE, Atlanta, GA 30316","$650,000 ",5 bds,4 ba,"2,943 sqft","$625,944 ",Single Family,2018,Forced air,Central,4 spaces,"4,356 sqft",Limited solar potentialSun Number™: 53.83,"$3,366 ","$2,537/mo",$601/mo,$228/mo,$0/mo
"855-B Saint Charles Ave NE, Atlanta, GA 30306","$799,900 ",4 bds,4 ba,"2,688 sqft",,Single Family,2000,Forced air,Central,Attached Garage,"5,662 sqft",,"$4,115 ","$3,122/mo",$713/mo,$280/mo,$0/mo
"1970 Thomasville Dr SE, Atlanta, GA 30315","$27,000 ",3 bds,1 ba,977 sqft,,Single Family,1966,Other,None,2 spaces,0.34 acres,Great solar potentialSun Number™: 86.62,$145 ,$111/mo,$24/mo,$9/mo,$0/mo
"165 Sunset Ave NW, Atlanta, GA 30314","$275,000 ",3 bds,2 ba,"2,357 sqft","$266,462 ",Single Family,1920,Forced air,Central,2 spaces,"6,298 sqft",Great solar potentialSun Number™: 91.42,"$1,351 ","$1,009/mo",$245/mo,$96/mo,$0/mo
"895 W Paces Ferry Rd NW, Atlanta, GA 30327","$5,650,000 ",8 bds,11 ba,"16,344 sqft",,Single Family,2007,Forced air,Central,Attached Garage,1.09 acres,Great solar potentialSun Number™: 92.21,"$29,069 ","$22,053/mo","$5,038/mo","$1,978/mo",$0/mo
"1198 Milmar Dr NW, Atlanta, GA 30327","$675,000 ",3 bds,2 ba,"1,734 sqft","$643,854 ",Single Family,1960,Forced air,Central,2 spaces,0.76 acres,Candidate for a community solar programSun Number™: 20.21,"$3,473 ","$2,635/mo",$602/mo,$236/mo,$0/mo
"4220 Harris Trl NW, Atlanta, GA 30327","$4,500,000 ",6 bds,10 ba,"8,800 sqft","$4,328,242 ",Single Family,2019,"Forced air, Heat pump",Central,5 spaces,1.03 acres,Candidate for a community solar programSun Number™: 20.21,"$23,152 ","$17,565/mo","$4,013/mo","$1,575/mo",$0/mo
"86 Morris Brown Dr SW, Atlanta, GA 30314","$375,000 ",5 bds,5 ba,"3,805 sqft","$365,566 ",Single Family,1954,Forced air,Central,3 spaces,"8,929 sqft",Great solar potentialSun Number™: 86.62,"$1,842 ","$1,376/mo",$334/mo,$131/mo,$0/mo
"110 Bowen Cir SW, Atlanta, GA 30315","$234,900 ",3 bds,3 ba,"1,320 sqft","$242,226 ",Single Family,2000,Forced air,Central,No Data,"8,712 sqft",Good solar potentialSun Number™: 69.83,"$1,237 ",$904/mo,$209/mo,$82/mo,$41/mo
"728 Garibaldi St SW, Atlanta, GA 30310","$500,000 ",4 bds,3 ba,"2,600 sqft","$474,813 ",Single Family,2006,Forced air,Central,Detached Garage,9 acres,Great solar potentialSun Number™: 92.23,"$2,456 ","$1,835/mo",$446/mo,$175/mo,$0/mo
