Title,Title_link,list-card-price,list-card-type,Field1,Field2,list-card-details,Zestimate,Type,Year built,Heating,Cooling,Parking,HOA/Lot,Price/sqft,Monthly cost
"3374 Collier Dr NW, Atlanta, GA 30331",https://www.zillow.com/homedetails/3374-Collier-Dr-NW-Atlanta-GA-30331/35872380_zpid/,"$77,000",For sale by owner,3 bds,2 ba,"1,126 sqft",,Single Family,1968,Forced air,Central,No Data,"10,498 sqft",$68,$411
"1938 Maywood Pl NW, Atlanta, GA 30318",https://www.zillow.com/homedetails/1938-Maywood-Pl-NW-Atlanta-GA-30318/35856578_zpid/,"$225,000",House for sale,4 bds,2 ba,"1,596 sqft","$217,775",Single Family,1952,Forced air,Central,1 space,0.28 acres,$141,"$1,152"
"927 N Eugenia Pl NW, Atlanta, GA 30318",https://www.zillow.com/homedetails/927-N-Eugenia-Pl-NW-Atlanta-GA-30318/35921165_zpid/,"$350,000",Lot / Land for sale,0.73 acres lot,,,,,,,,,,,"$1,719"
"1065 United Ave SE # 205, Atlanta, GA",https://www.zillow.com/homedetails/1065-United-Ave-SE-205-Atlanta-GA-30316/2082291388_zpid/,"$269,900",New construction,1 bd,1 ba,888 sqft,,Condo,2019,Forced air,Central,No Data,No Data,$304,"$1,326"
"1065 United Ave SE # 306, Atlanta, GA",https://www.zillow.com/homedetails/1065-United-Ave-SE-306-Atlanta-GA-30316/2082291387_zpid/,"$369,900",New construction,2 bds,2 ba,"1,325 sqft",,Condo,2019,Forced air,Central,No Data,No Data,$279,"$1,817"
"1065 United Ave SE # 101, Atlanta, GA",https://www.zillow.com/homedetails/1065-United-Ave-SE-101-Atlanta-GA-30316/2082291384_zpid/,"$219,900",New construction,1 bd,1 ba,731 sqft,,Condo,2019,Forced air,Central,No Data,No Data,$301,"$1,126"
"1065 United Ave SE # 201, Atlanta, GA",https://www.zillow.com/homedetails/1065-United-Ave-SE-201-Atlanta-GA-30316/2082291383_zpid/,"$199,900",New construction,1 bd,1 ba,644 sqft,,Condo,2019,Forced air,Central,No Data,No Data,$310,"$1,023"
"1065 United Ave SE # 201, Atlanta, GA",https://www.zillow.com/homedetails/1065-United-Ave-SE-201-Atlanta-GA-30316/2082291383_zpid/,"$199,900",New construction,1 bd,1 ba,644 sqft,,Condo,2019,Forced air,Central,No Data,No Data,$310,"$1,023"
"1766 S Olympian Way SW, Atlanta, GA 30310",https://www.zillow.com/homedetails/1766-S-Olympian-Way-SW-Atlanta-GA-30310/35847383_zpid/,"$175,000",House for sale,3 bds,1 ba,"1,052 sqft","$167,988",Single Family,1960,Other,Other,Detached Garage,"9,230 sqft",$166,$896
"1673 Laurelwood Dr SW, Atlanta, GA 30311",https://www.zillow.com/homedetails/1673-Laurelwood-Dr-SW-Atlanta-GA-30311/35862337_zpid/,"$215,000",House for sale,3 bds,2 ba,"1,377 sqft","$207,110",Single Family,1958,Other,Central,1 space,0.37 acres,$156,"$1,101"
