Address,Title_link,Sold date,Sold price,Bedrooms,Bathrooms,Area,Type,Year built,Last remodel year,Heating,Cooling,Parking,Lot,Sunscore,Zestimate,Zestimate range,Last 30 day change
"1508 Drew Dr NW, Atlanta, GA 30318",https://www.zillow.com/homedetails/1508-Drew-Dr-NW-Atlanta-GA-30318/122726292_zpid/,Sold 05/24/2019,"$385,000 ",3 bds,3 ba,"1,956 sqft",Single Family,2014,,Forced air,Central,4 spaces,"5,488 sqft",,"$387,497 ","$356,000 - $422,000",+$562 (+0.1 %)
"1160 Liberty Pkwy NW, Atlanta, GA 30318",https://www.zillow.com/homedetails/1160-Liberty-Pkwy-NW-Atlanta-GA-30318/71756345_zpid/,Sold 05/24/2019,"$260,000 ",3 bds,4 ba,"1,326 sqft",Townhouse,2005,2005,Forced air,Central,2 spaces,653 sqft,Great solar potentialSun Number™: 88.21,"$261,686 ","$241,000 - $285,000",+$380 (+0.1 %)
"2220 Virginia Pl NE, Atlanta, GA 30305",https://www.zillow.com/homedetails/2220-Virginia-Pl-NE-Atlanta-GA-30305/35897299_zpid/,Sold 05/24/2019,"$550,000 ",3 bds,3 ba,"1,796 sqft",Single Family,1941,1980,Forced air,Central,,"10,799 sqft",,"$553,567 ","$509,000 - $603,000",+$802 (+0.1 %)
"16 Highland Park Ln NE, Atlanta, GA 30306",https://www.zillow.com/homedetails/16-Highland-Park-Ln-NE-Atlanta-GA-30306/35931619_zpid/,Sold 05/24/2019,"$920,000 ",3 bds,3.5 ba,"2,592 sqft",Single Family,1998,,Forced air,Central,2 spaces,"3,655 sqft",,"$925,967 ","$852,000 - $1.01M","+$1,342 (+0.1 %)"
"1958 Grandview Ave NW, Atlanta, GA 30318",https://www.zillow.com/homedetails/1958-Grandview-Ave-NW-Atlanta-GA-30318/65470968_zpid/,Sold 05/23/2019,"$307,500 ",3 bds,2 ba,"1,754 sqft",Single Family,2003,,Forced air,Central,"Off street, On street","7,448 sqft",,"$307,013 ","$282,000 - $335,000",+$467 (+0.2 %)
"1055 Reeder Cir NE, Atlanta, GA 30306",https://www.zillow.com/homedetails/1055-Reeder-Cir-NE-Atlanta-GA-30306/35918372_zpid/,Sold 05/23/2019,"$645,000 ",3 bds,2 ba,"1,599 sqft",Single Family,1925,,Forced air,Central,2 spaces,"7,797 sqft",,"$649,257 ","$597,000 - $708,000",+$986 (+0.2 %)
"697 Woods Dr NW, Atlanta, GA 30318",https://www.zillow.com/homedetails/697-Woods-Dr-NW-Atlanta-GA-30318/35864769_zpid/,Sold 05/23/2019,"$25,000 ",3 bds,2 ba,"1,900 sqft",Single Family,1950,2019,Heat pump,Central,2 spaces,18 sqft,,"$170,694 ","$111,000 - $212,000",Unavailable
"4131 N Stratford Rd NE, Atlanta, GA 30342",https://www.zillow.com/homedetails/4131-N-Stratford-Rd-NE-Atlanta-GA-30342/35927798_zpid/,Sold 05/23/2019,"$918,889 ",3 bds,3.5 ba,"2,000 sqft",Single Family,1955,,Forced air,Central,4 spaces,1.24 acres,,We are unable to provide a Zestimate for this home,Unavailable,Unavailable
"766 Virginia Cir NE, Atlanta, GA 30306",https://www.zillow.com/homedetails/766-Virginia-Cir-NE-Atlanta-GA-30306/35930964_zpid/,Sold 05/23/2019,"$635,000 ",3 bds,2 ba,"2,527 sqft",Single Family,1925,,Forced air,Central,,"8,250 sqft",Great solar potentialSun Number™: 81.83,We are unable to provide a Zestimate for this home,Unavailable,Unavailable
"421 7th St NE, Atlanta, GA 30308",https://www.zillow.com/homedetails/421-7th-St-NE-Atlanta-GA-30308/35879880_zpid/,Sold 05/23/2019,"$895,000 ",3 bds,3 ba,"2,592 sqft",Single Family,1965,,Forced air,Central,1 space,"4,399 sqft",,"$900,908 ","$829,000 - $982,000","+$1,369 (+0.2 %)"
