Address,Soldprice,Bedrooms,Bathrooms,Area,Year built,LRY,Parking,Lot,Zestimate,lat,lng,label,Avgprice,Type_Single Family,Type_Townhouse,Heating_Baseboard,Heating_Electric,Heating_Forced air,"Heating_Forced air, Heat pump","Heating_Forced air, Other","Heating_Forced air, Radiant",Heating_Gas,Heating_Heat pump,"Heating_Heat pump, Other",Heating_No Data,Heating_None,Heating_Other,Heating_Radiant,Heating_Stove,Cooling_Central,"Cooling_Central, Other","Cooling_Central, Refrigeration",Cooling_No Data,Cooling_None,Cooling_Other
30306,0.8195323422871759,0.0,-0.47189743239210324,0.49569499398109373,-1.0732846966368645,-2.7126463658019246,1.1400511632580099e-14,-0.06654691325673077,0.8415384115989935,33.78932189941406,-84.35150146484375,1,0.525583,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
30319,0.47216654222969034,0.0,-0.5571011354628996,1.2805054339194952,-0.4663319846529723,-0.8114283389241297,0.9553107072229334,2.4254189087953115,0.487193164210615,33.875953674316406,-84.33476257324219,3,0.2691243,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
30306,0.36503503380074626,0.0,-0.3866937293213068,0.5244713767788352,1.3241785156995096,1.578674323436527,-0.3282727912850851,-0.9178534432807411,0.3661915176453629,33.78932189941406,-84.35150146484375,1,0.525583,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
30318,0.38126708053240443,0.0,-0.5571011354628996,-0.2943475155568971,-0.8911988830416968,-0.8114283389241297,1.1400511632580099e-14,-0.14035239604631639,0.3901388062039557,33.792301177978516,-84.44786071777344,0,-0.60014594,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
30324,0.33257094033742984,0.0,2.254621065873382,-0.26033906315956634,1.1420927021043419,1.2527512331146193,-0.3282727912850851,-0.9158900567978259,0.2815755034268565,33.81840515136719,-84.3581771850586,1,0.525583,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
30318,-1.2379510019561202,0.0,1.402584035165418,-1.1759512430877015,-0.31459380665699926,-1.3546334894606427,1.1400511632580099e-14,-0.18345765383031848,-1.3237747414755208,33.792301177978516,-84.44786071777344,0,-0.60014594,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
30318,0.4491170358707357,0.0,-0.3866937293213068,1.3995350173101528,1.4759166936954826,-5.804995925067511e-13,0.9553107072229334,1.078999455387287e-15,0.45578354777257407,33.792301177978516,-84.44786071777344,0,-0.60014594,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
30318,-1.4691862468766301,0.0,-0.6423048385336961,-1.547428184658545,-0.6180701626489454,-1.8978386399971554,1.1400511632580099e-14,0.05404071473031632,-1.551721722454919,33.792301177978516,-84.44786071777344,0,-0.60014594,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
30318,-0.2842468354655815,0.0,1.402584035165418,0.5009270635806831,0.8993116173107851,0.818187112685409,-1.6118562897931037,-0.5388306072379723,-0.3071682465894248,33.792301177978516,-84.44786071777344,0,-0.60014594,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
30305,0.763012355567542,0.0,-0.3866937293213068,0.5637118987757552,1.4759166936954826,-5.804995925067511e-13,2.238894205730952,1.078999455387287e-15,0.7813615211856798,33.835697174072266,-84.38911437988281,4,0.67727894,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
30327,-0.5439595831721129,0.0,1.402584035165418,-1.0451495030979678,0.3227065409260875,-0.2139026733339655,-0.3282727912850851,-0.8887596253975429,-0.5785663276305189,33.869693756103516,-84.41729736328125,4,0.67727894,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
30327,-0.4563065308211586,0.0,-0.47189743239210324,-0.03405205297732727,0.3227065409260875,-0.2139026733339655,-0.3282727912850851,-0.8440479604911556,-0.4919151330812539,33.869693756103516,-84.41729736328125,4,0.67727894,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
30318,0.07285819263089868,0.0,0.5505470044574539,-0.031436018177532596,-0.6180701626489454,-0.2682231883876168,1.1400511632580099e-14,1.647917861560887,0.06084662868721551,33.792301177978516,-84.44786071777344,0,-0.60014594,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
30305,0.358542215108083,0.0,-0.5571011354628996,-0.5193265083392389,-1.2250228746328375,0.2749819621488961,1.1400511632580099e-14,-0.37087181810858905,0.36025218304676576,33.835697174072266,-84.38911437988281,4,0.67727894,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
