Address,Title_link,Sold date,Sold price,Bedrooms,Bathrooms,Area,Type,Year built,Last remodel year,Heating,Cooling,Parking,Lot,Sunscore,Zestimate,Zestimate range,Last 30 day change
"3 Dorchester St # 3J, South Boston, MA 02127",https://www.zillow.com/homedetails/3-Dorchester-St-3J-South-Boston-MA-02127/120938118_zpid/,Sold 05/17/2019,$1.06M,3 bds,2 ba,"1,581 sqft",Multi Family,2012,,Forced air,Other,2 spaces,,Great solar potentialSun Number™: 94.86,"$1,068,458 ","$983,000 - $1.15M",+$615 (+0.1 %)
"27-37 Chestnut St # 207, Charlestown, MA 02129",https://www.zillow.com/homedetails/27-37-Chestnut-St-207-Charlestown-MA-02129/59098472_zpid/,Sold 05/17/2019,"$980,000 ",3 bds,2 ba,"1,572 sqft",Condo,1989,1989,Forced air,Central,Attached Garage,$645/month,,"$987,820 ","$909,000 - $1.07M",+$569 (+0.1 %)
"60 Starbird Ave # 2, Boston, MA 02131",https://www.zillow.com/homedetails/60-Starbird-Ave-2-Boston-MA-02131/2085451989_zpid/,Sold 05/17/2019,"$649,900 ",3 bds,3 ba,"1,757 sqft",Condo,2019,,,,,,,"$655,086 ","$603,000 - $707,000",+$378 (+0.1 %)
"135 Havre St, East Boston, MA 02128",https://www.zillow.com/homedetails/135-Havre-St-East-Boston-MA-02128/59122991_zpid/,Sold 05/17/2019,"$385,000 ",3 bds,3 ba,"1,998 sqft",Multiple Occupancy,1910,2017,Forced air,,,,,"$398,763 ","$367,000 - $431,000",+$270 (+0.1 %)
"663 Tremont St # 2, Boston, MA 02118",https://www.zillow.com/homedetails/663-Tremont-St-2-Boston-MA-02118/120922347_zpid/,Sold 05/15/2019,$1.88M,3 bds,2.5 ba,"1,644 sqft",Condo,1857,,Forced air,,,$491/month,Great solar potentialSun Number™: 93.58,"$1,890,490 ",$1.74M - $2.04M,"+$1,124 (+0.1 %)"
"25 Bragdon St, Roxbury, MA 02119",https://www.zillow.com/homedetails/25-Bragdon-St-Roxbury-MA-02119/59186933_zpid/,Sold 05/15/2019,"$820,000 ",3 bds,1 ba,"2,072 sqft",Apartment,1899,2016,Forced air,Central,Off street,,Great solar potentialSun Number™: 83.22,,,
"139 Main St, Boston, MA 02129",https://www.zillow.com/homedetails/139-Main-St-Boston-MA-02129/59162934_zpid/,Sold 05/15/2019,$1.65M,3 bds,3 ba,"2,623 sqft",Condo,1997,1997,Forced air,Central,2 spaces,$500/month,,"$1,663,631 ",$1.53M - $1.80M,+$989 (+0.1 %)
"59 Bailey St # 2, Dorchester Center, MA 02124",https://www.zillow.com/homedetails/59-Bailey-St-2-Dorchester-Center-MA-02124/2119593887_zpid/,Sold 05/15/2019,"$509,000 ",3 bds,2 ba,900 sqft,Condo,1900,,,,,$214/month,,"$513,205 ","$472,000 - $554,000",+$305 (+0.1 %)
"2141-2143 Dorchester Ave UNIT 1, Dorchester Center, MA 02124",https://www.zillow.com/homedetails/2141-2143-Dorchester-Ave-UNIT-1-Dorchester-Center-MA-02124/81854423_zpid/,Sold 05/10/2019,"$589,000 ",3 bds,2 ba,"1,856 sqft",Condo,1920,,Forced air,,1 space,$280/month,,"$594,280 ","$547,000 - $642,000",+$381 (+0.1 %)
"99-105 Broad St # 9B, Boston, MA 02110",https://www.zillow.com/homedetails/99-105-Broad-St-9B-Boston-MA-02110/90136260_zpid/,Sold 05/10/2019,$2.00M,3 bds,2.5 ba,"1,884 sqft",Condo,2008,,"Forced air, Heat pump",Other,,,Great solar potentialSun Number™: 94.38,"$2,017,930 ",$1.86M - $2.18M,"+$1,293 (+0.1 %)"
"31 Orleans St, East Boston, MA 02128",https://www.zillow.com/homedetails/31-Orleans-St-East-Boston-MA-02128/247099767_zpid/,Sold 05/10/2019,"$217,000 ",3 bds,2 ba,540 sqft,Multi Family,2017,,Forced air,Other,"Off street, Attached Garage",,Great solar potentialSun Number™: 93.8,"$882,107 ","$812,000 - $961,000","+$1,321 (+0.1 %)"
"44 Winton St, Roslindale, MA 02131",https://www.zillow.com/homedetails/44-Winton-St-Roslindale-MA-02131/294968819_zpid/,Sold 05/09/2019,"$685,000 ",3 bds,2.5 ba,"1,716 sqft",Condo,2017,,Forced air,,2 spaces,,,"$691,237 ","$636,000 - $747,000",+$449 (+0.1 %)
