Title,Title_link,list-card-price,Field1,Field2,list-card-details,Zestimate,Type,Year built,Heating,Cooling,Parking,HOA / Lot,Price/sqft,Monthly cost
"1081 Lee Cir NE, Atlanta, GA 30324",https://www.zillow.com/homedetails/1081-Lee-Cir-NE-Atlanta-GA-30324/35938401_zpid/,"$699,000",4 bds,4 ba,"2,253 sqft","$675,092",Single Family,1960,Forced air,Central,6 spaces,0.73 acres,$310,"$3,553"
"2308 River Green Dr NW, Atlanta, GA 30327",https://www.zillow.com/homedetails/2308-River-Green-Dr-NW-Atlanta-GA-30327/65470742_zpid/,"$193,900",1 bd,1 ba,905 sqft,"$191,671",Condo,1991,Forced air,Central,Attached Garage,$273/month,$214,"$1,273"
"1986 W Paces Ferry Rd NW, Atlanta, GA 30327",https://www.zillow.com/homedetails/1986-W-Paces-Ferry-Rd-NW-Atlanta-GA-30327/35921988_zpid/,"$1,650,000",5 bds,5 ba,"5,250 sqft","$1,558,204",Single Family,1970,Forced air,Central,5 spaces,2.5 acres,$314,"$8,387"
"2035 Holtz Ln, Atlanta, GA",https://www.zillow.com/homedetails/2035-Holtz-Ln-Atlanta-GA-30318/2088749452_zpid/,"$436,342",3 bds,4 ba,"2,092 sqft",,Townhouse,2019,No Data,No Data,4 spaces,No Data,$209,"$2,461"
"120 Peachtree Memorial Dr NW # 124-1, Atlanta, GA",https://www.zillow.com/homedetails/120-Peachtree-Memorial-Dr-NW-124-1-Atlanta-GA-30309/2082381413_zpid/,"$414,900",2 bds,2 ba,"1,357 sqft",,Condo,2019,Forced air,Central,No Data,No Data,$306,"$2,040"
"3201 Northside Pkwy NW, Atlanta, GA 30327",https://www.zillow.com/homedetails/3201-Northside-Pkwy-NW-Atlanta-GA-30327/65442145_zpid/,"$599,000",4 bds,3 ba,"2,475 sqft","$579,162",Single Family,2000,Forced air,Central,No Data,0.43 acres,$242,"$2,956"
"2795 Peachtree Rd NE UNIT 1405, Atlanta, GA 30305",https://www.zillow.com/homedetails/2795-Peachtree-Rd-NE-UNIT-1405-Atlanta-GA-30305/88826186_zpid/,"$565,000",2 bds,3 ba,"1,594 sqft","$554,819",Condo,2007,Forced air,Central,4 spaces,$598/month,$354,"$3,376"
"390 17th St NW UNIT 5026, Atlanta, GA 30363",https://www.zillow.com/homedetails/390-17th-St-NW-UNIT-5026-Atlanta-GA-30363/82620875_zpid/,"$208,900",1 bd,1 ba,868 sqft,"$203,786",Condo,2006,Forced air,Central,1 space,$422/month,$241,"$1,500"
"72 Chaumont Sq NW, Atlanta, GA 30327",https://www.zillow.com/homedetails/72-Chaumont-Sq-NW-Atlanta-GA-30327/35915096_zpid/,"$240,000",2 bds,3 ba,"1,288 sqft","$237,975",Condo,1969,Other,Central,2 spaces,$534/month,$186,"$1,753"
"250 Pharr Rd NE APT 2013, Atlanta, GA 30305",https://www.zillow.com/homedetails/250-Pharr-Rd-NE-APT-2013-Atlanta-GA-30305/69382446_zpid/,"$379,000",2 bds,2 ba,"1,233 sqft","$372,449",Condo,2004,Forced air,Central,2 spaces,$475/month,$307,"$2,339"
